x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Dim.  10,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0.9944621938,0.9952537735,0.9682168354,0.9957256175,1.015795769,0.9616974006,0.956822437,0.9781811234,0.9236980547,0.9969003754,0.9993319973,0.9843995158,0.9989933637,0.966496513,0.9994806647,1.096653813,1.061414885,1.005621181,1.015802781,0.961635195,1.041661772,0.9507623094,0.9969128831,42117,FALSE,OPTIMAL,2.406060934
Dim.  11,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0.9919488818,0.9614743233,0.9377646916,0.9933007275,1.001649689,0.9833370362,0.9791754232,0.9754298815,0.9274907222,1.040600716,0.9849109985,0.9858340431,0.9998881515,1.002336617,1.033716842,0.998507277,1.000418358,1.037393075,1.00466182,1.030619985,0.9727084068,1.021952845,0.9952563813,42049,FALSE,OPTIMAL,1.253871918
Dim.  12,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0.9991054313,0.9791337068,0.9413140806,0.9805597797,0.9375180435,0.8859364586,0.9927018456,1.017462744,0.9763468048,1.002139178,0.9997642344,0.9785717488,0.9986578182,0.9259831764,1.059124321,0.9975950574,1.044596913,1.007657841,0.9803255373,1.022595712,1.067034731,0.9935016246,0.9998494089,42002,FALSE,OPTIMAL,4.275931835
Dim.  13,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0.9658785942,0.9643819216,0.8929133223,0.9942871234,0.9914216192,0.9475227727,0.9583890566,0.9457776079,0.9878063701,1.012616782,0.9992141145,0.9991482494,0.9917977779,0.9724279244,1.051733781,0.9980511672,1.060243484,0.9792668024,0.9606510746,1.067228233,1.04522495,0.9841289678,0.9998494089,41938,FALSE,OPTIMAL,6.400197983
Dim.  14,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0.992971246,0.9565143028,0.9925785504,0.9989314044,0.9298469914,0.9816485226,0.9555614994,0.9683607184,0.9972268668,1.018466777,0.9990962317,0.9924687318,0.9968309597,0.9907973255,0.9988814318,0.98552888,1.066853533,1.040773931,0.9903207965,1.042756198,1.000274091,0.9433058402,0.9996988179,41862,FALSE,OPTIMAL,4.939656973
Dim.  15,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0.9879872204,0.9983751657,0.9909248578,0.993177428,0.9707592692,0.9402799378,0.9041687364,0.9544516622,0.9244321194,1.025364533,0.9996856458,0.9778544851,0.998695101,0.995901934,1.016738575,0.9964340507,0.9714680166,1.002729124,1.009521176,1.015130345,0.9981205216,0.9770474048,0.999510579,41816,FALSE,OPTIMAL,5.660403967
Dim.  16,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0.9923748669,0.9937144567,0.9546242891,0.9700382228,0.9733575288,0.908731393,0.9622482901,0.9756973634,0.9322213613,0.996682092,0.9893119572,0.9875375443,0.9982477071,0.9991372493,1.009787472,0.9978853091,0.9939756516,1.002851324,1.016553413,1.01616831,0.9844159912,0.9991252187,0.9963481666,41777,FALSE,OPTIMAL,6.276882887
Dim.  17,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0.9822790202,0.9539060162,0.9727342395,0.99268423,0.9828019961,0.9335703177,0.9069962936,0.9866641192,0.9312426084,0.9955470182,0.9959133954,0.9887030977,0.9989560808,0.9894313035,1.007070949,0.9828751503,1.020164833,0.9929531568,0.9990518331,0.9732125035,1.009397392,0.9813379988,0.9996235223,41715,FALSE,OPTIMAL,8.953319073
Dim.  18,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0.9822790202,0.9445418395,0.9706368733,0.973655008,0.9354971749,0.9297933792,0.9799396278,0.9887657623,0.9706374128,0.9979917925,0.9919053794,0.9732371005,0.9979494445,0.9606010497,0.9796260786,1,0.9845207715,0.996089613,0.9845922882,1.037765979,0.9880183249,1.010872282,0.989797455,41659,FALSE,OPTIMAL,22.60400605
Dim.  19,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0.9931842386,0.9971779194,0.9639011011,0.9566807776,0.9757908195,0.9691624084,0.9786022697,0.9962552541,0.8818155866,0.9998690299,0.9878973634,0.97413368,0.9977630303,0.9885685527,0.9899328859,0.9979267736,0.9989959419,0.9883095723,1.025758534,0.9993213302,0.9746661968,0.9968341248,0.9894209773,41626,FALSE,OPTIMAL,44.18880701
Dim.  20,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0.9971458999,0.9455680506,0.9365950067,0.9439809297,0.9620984039,0.9149077983,0.9197585113,0.9947649981,0.9223930509,0.9784772549,0.9930056191,0.9755233783,0.9969428081,0.9545617945,0.9630073506,0.9929095659,0.9926787433,0.9971486762,0.9896886852,0.9854684818,1.000665649,1.003124219,0.9987576237,41606,FALSE,OPTIMAL,44.87891507
Dim.  21,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0.9958679446,0.9743874802,0.9494212076,0.9367473593,0.9981441003,0.9465452122,0.9395132016,0.9641574322,0.9719016353,0.9821007596,0.9970529294,0.9953377863,0.9957497577,0.9585160687,0.9793464366,0.9897167973,0.9914655064,0.9656211813,0.9960097977,0.9981635993,1.049845335,0.9862534366,0.999021158,41519,FALSE,OPTIMAL,113.4218569
Dim.  22,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0.9908413206,0.9400094069,0.9488565321,0.9787513871,0.9451066111,0.9544545657,0.9194146192,0.9913259457,0.9308347947,0.9758578538,0.9912373767,0.9845340028,0.99459399,0.9909411173,0.9876558006,0.9767384003,0.9969878258,1.006150713,0.9926912137,0.9930536149,0.9911116332,0.9791718737,0.9830961524,41491,FALSE,OPTIMAL,174.5656149
Dim.  23,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0.9883280085,0.967674349,0.9459121526,0.9849985615,0.9970718027,0.9623639191,0.9175041076,0.9908291937,0.8751274418,0.9942809744,0.9937522103,0.9743578249,0.9986205354,0.9808397441,0.9858181528,0.9979682382,0.9856503368,0.9776782077,0.9775995575,0.9874246477,0.9978855867,0.9817962176,0.9999623522,41469,TRUE,OPTIMAL,259.9965608
