file,univocity_success,univocity_header_precision,univocity_header_recall,univocity_header_f1,univocity_record_precision,univocity_record_recall,univocity_record_f1,univocity_cell_precision,univocity_cell_recall,univocity_cell_f1
ResultsOR30x100-0.25_5.dat__m28.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ResultsOR30x100-0.75_1.dat__m21Infos.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erionite.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
download (6).csv,1,0.0,0.0,0.0,1.0,0.9710144927536232,0.9852941176470589,1.0,0.9927007299270073,0.9963369963369962
ResultsOR30x250-0.75_3.dat.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takakai2008-ch4.csv,1,0.0,0.0,0.0,1.0,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.8461538461538461,0.8799999999999999
S30out.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOS_1050CFit.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
student_loans_company_limited-2011-09-30-organogram-senior.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OccurrenceData351.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.50_1.datInfos.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kokad pollen.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMRC_spending_over_25000_for_September_2018.csv,1,1.0,1.0,1.0,0.9532019704433498,0.9532019704433498,0.9532019704433498,0.9964899964899965,0.9964899964899965,0.9964899964899965
epcs-dwp-cmg-spend-july-2017.csv,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6,0.029411764705882353,0.056074766355140186,0.9523809523809523,0.05547850208044383,0.10484927916120577
