file,spreaddesktop_success,spreaddesktop_header_precision,spreaddesktop_header_recall,spreaddesktop_header_f1,spreaddesktop_record_precision,spreaddesktop_record_recall,spreaddesktop_record_f1,spreaddesktop_cell_precision,spreaddesktop_cell_recall,spreaddesktop_cell_f1
S39.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resultsgk06.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SouthTrent_Demand_zone-based.csv,1,1.0,1.0,1.0,0.99609375,1.0,0.9980430528375733,0.99609375,1.0,0.9980430528375733
O18_air.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.44955044955044954,0.44955044955044954,0.44955044955044954
Note_4_Staff_costs_-_Average_number_of_persons_employed_13-14.csv,1,0.0,0.0,0.0,1.0,0.2,0.33333333333333337,1.0,0.28888888888888886,0.4482758620689655
W38out.csv,1,1.0,0.33518312985571586,0.5020781379883624,1.0,1.0,1.0,1.0,0.4506251332221005,0.6212840559589378
20170320-ePC_Data-Travel-Stationery.csv,1,1.0,1.0,1.0,0.875,1.0,0.9333333333333333,1.0,1.0,1.0
business_expenses_apr_jun_14_peter_lewis.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPC_DCLG_December_2015_for_Publication.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W32.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,1.0,1.0,1.0,0.9999942308247036,1.0,0.9999971154040309,0.9999942308247036,1.0,0.9999971154040309
"Businesses with a rateable value of less than £12,000 - March 2016.csv",1,1.0,1.0,1.0,1.0,1.0,1.0,0.7847043701799485,0.7847043701799485,0.7847043701799485
june_2015(1).csv,1,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0,1.0,0.7761627906976745,0.8042168674698795,0.7899408284023669
planning-application-aug-17.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.10602593440122045,0.4161676646706587,0.1689969604863222
air_quality_station3_2006.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wakefield Council Procurement Card Transactions 2018-19 Q2.csv,1,1.0,1.0,1.0,0.9433681073025335,0.9461883408071748,0.9447761194029851,0.9976596021323625,0.9976596021323625,0.9976596021323625
spending_2020_01.csv,1,1.0,1.0,1.0,3.911138923654568e-05,3.911138923654568e-05,3.911138923654568e-05,0.9102080725907384,0.9102080725907384,0.9102080725907384
Camp Palacios - Humidity.csv,1,1.0,1.0,1.0,0.9999699076163823,1.0,0.9999849535818,0.9999699076163823,1.0,0.9999849535818
fire_archive_V1_50574.csv,1,1.0,1.0,1.0,0.6181334270505644,0.6877266766802566,0.6510756340835273,0.6950123070145194,0.9688827843107148,0.8094085530526003
all.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.3739916550764951,0.6080958842152872,0.4631415776782638
