file,libreoffice_success,libreoffice_header_precision,libreoffice_header_recall,libreoffice_header_f1,libreoffice_record_precision,libreoffice_record_recall,libreoffice_record_f1,libreoffice_cell_precision,libreoffice_cell_recall,libreoffice_cell_f1
2004-2016.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fr_hypo1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1% SiO2_003.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.49550854824688495,0.3302433371958285,0.3963379302352532
ResultsOR30x250-0.75_2.dat.csv,1,0.006993748013139769,0.003509145044661846,0.004673393520977164,1.0,1.0,1.0,1.0,1.0,1.0
prison-and-probation-ombudsman__30-09-2014__justice_PPO-September-Return-senior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub205_over.csv,1,1.0,1.0,1.0,0.08928571428571429,0.08960573476702509,0.08944543828264757,0.8830357142857143,0.8862007168458781,0.8846153846153846
fr_RG65_pageid.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ministry-of-defence__30-09-2012__mod_300912-Air-Govt-data-template-u-senior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Sun2014-Rs.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.05,0.045454545454545456,0.04761904761904762
ResultsOR30x250-0.50_4.dat.csv,1,0.006993748013139769,0.003509145044661846,0.004673393520977164,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_4.datInfos.csv,1,0.11428571428571428,0.05970149253731343,0.0784313725490196,1.0,1.0,1.0,1.0,1.0,1.0
trinity-house__31-03-2015__dft_310315-Trinity-House-Organogram-ver-1-junior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Feb-2016.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dd_Wickenburg_nobmp_623.csv,1,0.0014619883040935672,0.06666666666666667,0.002861230329041488,1.0,1.0,1.0,0.0021570319240724763,0.0821917808219178,0.004203741329783507
over25k-transparency.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.01832460732984293,0.019830028328611898,0.01904761904761905
Copy_of_2016-17_Q3_Final_V2.csv,1,0.3890134529147982,0.3925339366515837,0.3907657657657658,1.0,1.0,1.0,1.0,1.0,1.0
10.January_2019.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.061946902654867256,0.01650943396226415,0.0260707635009311
ResultsOR30x100-0.25_5.dat__m28.csv,1,0.0149289670117987,0.007520621057738962,0.010002419940308139,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_1.dat__m21Infos.csv,1,0.11428571428571428,0.05970149253731343,0.0784313725490196,1.0,1.0,1.0,1.0,1.0,1.0
erionite.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
download (6).csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_3.dat.csv,1,0.006993748013139769,0.003509145044661846,0.004673393520977164,1.0,1.0,1.0,1.0,1.0,1.0
Takakai2008-ch4.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.22727272727272727,0.20833333333333334,0.21739130434782608
S30out.csv,1,1.0,0.33518312985571586,0.5020781379883624,1.0,1.0,1.0,1.0,0.4506251332221005,0.6212840559589378
LOS_1050CFit.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
student_loans_company_limited-2011-09-30-organogram-senior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
OccurrenceData351.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.50_1.datInfos.csv,1,0.11428571428571428,0.05970149253731343,0.0784313725490196,1.0,1.0,1.0,1.0,1.0,1.0
Kokad pollen.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HMRC_spending_over_25000_for_September_2018.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.020114942528735632,0.0012315270935960591,0.002320954907161804
