3.31,-0.04
3.32,0.232
3.33,0.4
3.34,0.312
3.35,-0.016
3.36,-0.288
3.37,-0.416
3.38,-0.232
3.39,0.088
3.4,0.312
3.41,0.408
3.42,0.176
3.43,-0.144
3.44,-0.368
3.45,-0.376
3.46,-0.088
3.47,0.192
3.48,0.376
3.49,0.336
3.5,0.032
3.51,-0.248
3.52,-0.4
3.53,-0.272
3.54,0.04
3.55,0.28
3.56,0.392
3.57,0.224
3.58,-0.104
3.59,-0.328
3.6,-0.384
3.61,-0.136
3.62,0.152
3.63,0.344
3.64,0.36
3.65,0.088
3.66,-0.208
3.67,-0.384
3.68,-0.312
3.69,0
3.7,0.24
3.71,0.384
3.72,0.264
3.73,-0.048
3.74,-0.304
3.75,-0.384
3.76,-0.184
3.77,0.12
3.78,0.312
3.79,0.368
3.8,0.136
3.81,-0.168
3.82,-0.36
3.83,-0.336
3.84,-0.048
3.85,0.208
3.86,0.368
3.87,0.296
3.88,0
3.89,-0.256
3.9,-0.384
3.91,-0.232
3.92,0.072
3.93,0.28
3.94,0.368
3.95,0.176
3.96,-0.128
3.97,-0.328
3.98,-0.352
3.99,-0.096
4,0.176
4.01,0.344
4.02,0.32
4.03,0.048
4.04,-0.224
4.05,-0.368
4.06,-0.256
4.07,0.032
4.08,0.256
4.09,0.36
4.1,0.216
4.11,-0.08
4.12,-0.304
4.13,-0.352
4.14,-0.136
4.15,0.136
4.16,0.32
4.17,0.336
4.18,0.096
4.19,-0.184
4.2,-0.352
4.21,-0.288
4.22,-0.016
4.23,0.224
4.24,0.352
4.25,0.248
4.26,-0.032
4.27,-0.264
4.28,-0.36
4.29,-0.184
4.3,0.096
4.31,0.288
4.32,0.336
4.33,0.136
4.34,-0.144
4.35,-0.328
4.36,-0.312
4.37,-0.064
4.38,0.184
4.39,0.336
4.4,0.28
4.41,0.008
4.42,-0.24
4.43,-0.352
4.44,-0.216
4.45,0.056
4.46,0.264
4.47,0.344
4.48,0.176
4.49,-0.104
4.5,-0.304
4.51,-0.328
4.52,-0.104
4.53,0.152
4.54,0.32
4.55,0.296
4.56,0.056
4.57,-0.2
4.58,-0.344
4.59,-0.248
4.6,0.016
4.61,0.232
4.62,0.336
4.63,0.208
4.64,-0.064
4.65,-0.272
4.66,-0.328
4.67,-0.144
4.68,0.12
4.69,0.296
4.7,0.312
4.71,0.096
4.72,-0.16
4.73,-0.32
4.74,-0.272
4.75,-0.024
4.76,0.2
4.77,0.32
4.78,0.24
4.79,-0.024
4.8,-0.248
4.81,-0.328
4.82,-0.176
4.83,0.08
4.84,0.272
4.85,0.32
4.86,0.136
4.87,-0.128
4.88,-0.304
4.89,-0.288
4.9,-0.064
4.91,0.168
4.92,0.312
4.93,0.264
4.94,0.024
4.95,-0.216
4.96,-0.32
4.97,-0.208
4.98,0.04
4.99,0.24
5,0.312
5.01,0.168
5.02,-0.088
5.03,-0.28
5.04,-0.304
5.05,-0.104
5.06,0.136
5.07,0.288
5.08,0.28
5.09,0.056
5.1,-0.176
5.11,-0.312
5.12,-0.24
5.13,0.008
5.14,0.208
5.15,0.304
5.16,0.192
5.17,-0.048
5.18,-0.248
5.19,-0.304
5.2,-0.144
5.21,0.096
5.22,0.272
5.23,0.288
5.24,0.096
5.25,-0.144
5.26,-0.296
5.27,-0.256
5.28,-0.032
5.29,0.176
5.3,0.296
5.31,0.224
5.32,-0.008
5.33,-0.224
5.34,-0.304
5.35,-0.168
5.36,0.064
