Newcastle City Council Invoices over £250 paid in June 2015,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,ABBEYFIELD THE GROVE,6611144,Revenue,1MG20,Residential Care OP,1969.28,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,ABBEYMOOR,6611157,Revenue,1MM10,Nursing Care MH,-397.2,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,ABBEYMOOR,6611157,Revenue,1MM10,Nursing Care MH,2010.56,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,ABBEYMOOR,6611157,Revenue,1MM20,Residential Care MH,4000,
Adult and Culture,AS - Westgate AE           ,Supplies & Services,05/06/2015,ABC AWARDS,6602000,Revenue,1EA15,Newcastle City Learning Main,266,
Adult and Culture,AS - Westgate AE           ,Supplies & Services,30/06/2015,ABC AWARDS,6612783,Revenue,1EA15,Newcastle City Learning Main,256,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,ABIGAIL HOUSE,6611158,Revenue,1MG20,Residential Care OP,-4323.5,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,ABIGAIL HOUSE,6611158,Revenue,1MG20,Residential Care OP,20945.23,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,08/06/2015,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,6600922,Revenue,1V123,Blue Badge Applications,807.6,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,30/06/2015,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,6613472,Revenue,1V213,Pay by Phone Parking Income,561,
HRA,HRA Furniture              ,Premises,24/06/2015,ABLECARE CLEANING SERVICES,6611353,Revenue,1HT01,HRA Newcastle Furniture SVS-C,274,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42173,ABOUT TURN VETERANS SUPPORT SERVICE,6613930,Revenue,1MX19,Domestic Violence,4374,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604463,Revenue,1MH50,Home Care PD,716.95,
