Newcastle City Council Invoices over £250 paid in June 2015,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KJ94,Security Services Delegated,65.68,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1MK31,Linbridge Drive Res Centre LD,23.74,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1CS14,Revs & Bens Small Grants,23.58,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1DQ9L,S&M Trinity Kenton Lodge,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KKX3,FSCM - Corporate Credit Card,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1DT02,Ayton St Workshops,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1MG96,Carers Centre Saville Place,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1DV06,Great North Road,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KHD8,Heaton Park Depot,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KL6C,Leazes Park,23.58,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1FR07,Soft FM Holding Account,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KE15,Waste Disposal Byker,53.95,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1EJ34,Home Delivery,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KEWM,Ayton Street Depot,23.58,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1DT07,Hawick Cres Industrial Estate,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1DT11,St Michaels Workshops,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KFB1,Lemington Riverside Primary,24.69,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1CR32,Council Tax & Sundry Debt,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1HP93,Comm. Centres - N/B/H,4.72,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KFH2,St Pauls C of E Prim,29.15,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KEWK,Other Cleansing Depot,27.46,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1EJ61,West End Branch Library,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KFH5,Westgate Hill Foster,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1EJ66,Fenham Branch Library,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KLR0,Football Development,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1EJ44,Jesmond Branch Library,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KFN7,Gosforth Junior High Academy,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1E761,SB ICT Broadband Connectivity,11.79,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1DZW1,Mill Lane Ind. Est.,35.37,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1E461,Bridgewater Contribution,15.67,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KFT3,Sir Charles Parsons School,15.67,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KFS1,Walker Technology College,15.67,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KFR5,St Marys RC School,15.67,
Chief Executive's,Utilities - NCC                        ,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,6606062,Revenue,1KKT4,Council Suites,68.76,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,BAB ACCOMODATION LTD,6599026,Revenue,1MF01,16+ Team (YP),20400,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,BAB ACCOMODATION LTD,6624149,Revenue,1MF01,16+ Team (YP),20400,
Adult and Culture,Adult Serv Finance         ,Employees,42172,BABCOCK 4S LTD,6612523,Revenue,1E317,Management Secretariat,740,
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,42156,BACK CARE SOLUTIONS LTD,6594695,Revenue,1MG01,Care Management OP,560.4,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/06/2015,BAILIFFGATE,6598783,Revenue,1MK20,Residential Care LD,-319.4,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/06/2015,BAILIFFGATE,6625110,Revenue,1MK20,Residential Care LD,-319.4,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/06/2015,BAILIFFGATE,6598783,Revenue,1MK20,Residential Care LD,2455.84,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/06/2015,BAILIFFGATE,6625110,Revenue,1MK20,Residential Care LD,2455.84,
Children's Services,Invoice,Transport,10/06/2015,BAKER TILLY,6559252,Revenue,1V300,Green Travel office,3000,
Environment & Regeneration,E&R Fairer Housing            ,Supplies & Services,11/06/2015,BALLIOL PROPERTY MANAGEMENT,6606047,Revenue,1VH08,Rent Deposit Fund,790,
Environment & Regeneration,E&R Fairer Housing            ,Supplies & Services,08/06/2015,BALLIOL PROPERTY MANAGEMENT,6580995,Revenue,1VH08,Rent Deposit Fund,450,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,BALMORAL COURT,6611142,Revenue,1MG10,Nursing Care OP,-9559.43,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,BALMORAL COURT,6611142,Revenue,1MG20,Residential Care OP,-2145.44,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BALMORAL COURT,6611142,Revenue,1MG10,Nursing Care OP,68831.48,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BALMORAL COURT,6611142,Revenue,1MG20,Residential Care OP,10080.04,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BALMORAL COURT,6611142,Revenue,1MK10,Nursing Care LD,1969.28,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BALMORAL COURT,6611142,Revenue,1MM20,Residential Care MH,2047.16,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/06/2015,BALMORAL JOINERY,6597294,Revenue,1KVWC,Minor Works Contracts,1458,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/06/2015,BALMORAL JOINERY,6602322,Revenue,1KVWC,Minor Works Contracts,680,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,12/06/2015,BALMORAL JOINERY,6602320,Revenue,1KVWC,Minor Works Contracts,1840.65,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,42166,BANKS OF THE WEAR LTD,6607216,Revenue,1MX50,SP Block Gross,1337.84,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/06/2015,BARCHESTER HEALTHCARE,6598850,Revenue,1MK20,Residential Care LD,25040.24,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/06/2015,BARCHESTER HEALTHCARE,6625143,Revenue,1MK20,Residential Care LD,2423.92,
Adult and Culture,Adult Serv-Arts & Cul      ,Supplies & Services,42156,BARE TOED CO,6595886,Revenue,1DF02,Staffing & Resources,1168.75,
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,19/06/2015,BARE TOED CO,6614949,Revenue,1E51J,Childrens Centre,275,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,BARNARDOS,6599027,Revenue,1MC22,IND Sector Foster Carer Costs,7450.16,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,BARNARDOS,6624150,Revenue,1MC22,IND Sector Foster Carer Costs,7450.16,
Children's Services,Childrens Services Support       ,Third Party Payments,15/06/2015,BARNARDOS NORTH EAST,6606993,Revenue,1MD66,CWD Care Packages,420,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42166,BARNARDO'S NORTH EAST,6607208,Revenue,1MX19,Domestic Violence,7770.84,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42173,BARNARDO'S NORTH EAST,6613872,Revenue,1MG97,Carers VCS,7621.07,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42173,BARNARDO'S NORTH EAST,6613897,Revenue,1EY10,Youth Management,21798.77,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42173,BARNARDO'S NORTH EAST,6613897,Revenue,1MD65,Teenage Pregnancies,13824.37,
Children's Services,Int Childhood Services     ,Supplies & Services,15/06/2015,BARNARDO'S NORTH EAST,6607927,Revenue,1MD72,Troubled Families Funding,20000,
Children's Services,Int Childhood Services     ,Supplies & Services,19/06/2015,BARNARDO'S NORTH EAST,6614950,Revenue,1EEE1,East CC Central Costs,19122,
Children's Services,Int Childhood Services     ,Supplies & Services,19/06/2015,BARNARDO'S NORTH EAST,6614951,Revenue,1EEE1,East CC Central Costs,19122,
Children's Services,Int Childhood Services     ,Third Party Payments,19/06/2015,BARNARDO'S NORTH EAST,6614950,Revenue,1EEE1,East CC Central Costs,163598,
Children's Services,Int Childhood Services     ,Third Party Payments,19/06/2015,BARNARDO'S NORTH EAST,6614951,Revenue,1EEE1,East CC Central Costs,169939,
Environment & Regeneration,E&R Parking Services       ,Premises,08/06/2015,BARRIER SURVEILLANCE  SYSTEMS LTD,6600941,Revenue,1V204,Car Parking Infrastructure,343.75,
Adult and Culture,AS - Westgate AE           ,Supplies & Services,09/06/2015,BAUER ADVERTISING LTD,6605137,Revenue,1EA56,Wellbeing Fund,2187.54,
Environment & Regeneration,E&R Raising Participation        ,Supplies & Services,22/06/2015,BAUER ADVERTISING LTD,6615973,Revenue,1KLF0,Getting Ncle Active,2700,
Children's Services,Invoice,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600553,Revenue,1KM1C,Voids 2.5 Central,399.75,
Children's Services,Invoice,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6602257,Revenue,1KM1E,Voids 2.5 East,295.96,
Children's Services,Invoice,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6602269,Revenue,1KVWC,Minor Works Contracts,390.82,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586303,Revenue,1KR10,Voids,361.25,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586305,Revenue,1KM1E,Voids 2.5 East,334.7,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586306,Revenue,1KM1E,Voids 2.5 East,448.74,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586307,Revenue,1KM1E,Voids 2.5 East,337.72,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586309,Revenue,1KM1E,Voids 2.5 East,329.53,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586310,Revenue,1KM1E,Voids 2.5 East,401.02,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586311,Revenue,1KM1E,Voids 2.5 East,347.05,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586314,Revenue,1KM1E,Voids 2.5 East,348.26,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586315,Revenue,1KM1E,Voids 2.5 East,547.65,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586317,Revenue,1KM1E,Voids 2.5 East,259.85,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595846,Revenue,1KM1E,Voids 2.5 East,396.28,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,15/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595066,Revenue,1KM1E,Voids 2.5 East,322.79,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,01/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586298,Revenue,1KM1E,Voids 2.5 East,456.05,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,01/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586304,Revenue,1KM1E,Voids 2.5 East,511.62,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586300,Revenue,1KM1E,Voids 2.5 East,316.79,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600532,Revenue,1KR1E,Response East,329.96,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600533,Revenue,1KM1E,Voids 2.5 East,375.41,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600534,Revenue,1KM1E,Voids 2.5 East,534.65,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600536,Revenue,1KM1E,Voids 2.5 East,408.46,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600537,Revenue,1KM1E,Voids 2.5 East,391.68,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600540,Revenue,1KM1C,Voids 2.5 Central,345.45,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600541,Revenue,1KM1E,Voids 2.5 East,345.8,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600542,Revenue,1KM1C,Voids 2.5 Central,362.65,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600543,Revenue,1KM1C,Voids 2.5 Central,452.4,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600545,Revenue,1KM1C,Voids 2.5 Central,414.1,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600561,Revenue,1KM1C,Voids 2.5 Central,451.26,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600562,Revenue,1KM1E,Voids 2.5 East,313.67,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600563,Revenue,1KM1C,Voids 2.5 Central,491.89,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600574,Revenue,1KM1W,Voids 2.5 West,353.07,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600575,Revenue,1KM1E,Voids 2.5 East,476.04,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,04/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6578222,Revenue,1KM1E,Voids 2.5 East,405.11,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,04/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6578224,Revenue,1KM1E,Voids 2.5 East,276.75,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,04/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6578260,Revenue,1KM1E,Voids 2.5 East,295.58,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,04/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6586299,Revenue,1KM1E,Voids 2.5 East,406.89,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,17/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6575685,Revenue,1KM1W,Voids 2.5 West,397.63,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595067,Revenue,1KM1E,Voids 2.5 East,274.35,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595068,Revenue,1KM1E,Voids 2.5 East,326.68,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595070,Revenue,1KM1E,Voids 2.5 East,288.21,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595072,Revenue,1KM1E,Voids 2.5 East,321.66,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595073,Revenue,1KM1E,Voids 2.5 East,463.44,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595074,Revenue,1KR1E,Response East,403.15,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595076,Revenue,1KM1E,Voids 2.5 East,455.45,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595077,Revenue,1KM1E,Voids 2.5 East,545.47,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595097,Revenue,1KM1E,Voids 2.5 East,256,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595098,Revenue,1KM1E,Voids 2.5 East,356.95,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595099,Revenue,1KM1E,Voids 2.5 East,358.79,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6595100,Revenue,1KM1E,Voids 2.5 East,531.63,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600569,Revenue,1KVWC,Minor Works Contracts,373.77,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600570,Revenue,1KVWC,Minor Works Contracts,413.64,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600573,Revenue,1KVWC,Minor Works Contracts,433.64,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6600576,Revenue,1KVWC,Minor Works Contracts,476.28,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622881,Revenue,1KVWC,Minor Works Contracts,491.06,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622902,Revenue,1KVWC,Minor Works Contracts,613.78,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622903,Revenue,1KVWC,Minor Works Contracts,557.83,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622916,Revenue,1KVWC,Minor Works Contracts,395.81,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622917,Revenue,1KVWC,Minor Works Contracts,422.34,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622918,Revenue,1KVWC,Minor Works Contracts,390.76,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622923,Revenue,1KVWC,Minor Works Contracts,435.04,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,6622942,Revenue,1KVWC,Minor Works Contracts,443.69,
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,11/06/2015,BBS (BRICK & STONE) LTD,6600489,Capital,2DP02,Devt Capital CC,5420.28,
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,08/06/2015,BBS (BRICK & STONE) LTD,6600050,Capital,2DP02,Devt Capital CC,7508.56,
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,08/06/2015,BBS (BRICK & STONE) LTD,6600052,Capital,2DP02,Devt Capital CC,5344.12,
Adult and Culture,Social Services                        ,Premises,42164,BEDEBURN,6605085,Revenue,1MC41,Bedeburn Short Break Unit,7.88,
Adult and Culture,Social Services                        ,Supplies & Services,42164,BEDEBURN,6605085,Revenue,1MC41,Bedeburn Short Break Unit,401.5,
Adult and Culture,Social Services                        ,Transport,42164,BEDEBURN,6605085,Revenue,1MC41,Bedeburn Short Break Unit,13.7,
Chief Executive's,CD - Corporate Services NOR            ,Supplies & Services,22/06/2015,BEECHAM PEACOCK SOLICITORS,6616440,Revenue,1MD68,Legal Fees Care,1123.8,
HRA,HRA General             ,Premises,29/06/2015,BELL DECORATING GROUP,6612979,Revenue,1HBAP,Planned Assets & Programming,488.03,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,09/06/2015,BELL TRUCK SALES LTD,6604204,Revenue,1KESH,Light Workshop Routine Repair,311.86,
Environment & Regeneration,Cityworks Parks & C/side   ,Supplies & Services,09/06/2015,BELLE TENTS,6582488,Revenue,1KL6N,Seasonal Events,300,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,BELLE VUE HOUSE,6611148,Revenue,1MG10,Nursing Care OP,-4519.52,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",16/06/2015,BELLE VUE HOUSE,6611148,Revenue,1MG20,Residential Care OP,-2966.92,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BELLE VUE HOUSE,6611001,Revenue,1MG10,Nursing Care OP,1064.56,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BELLE VUE HOUSE,6611148,Revenue,1MG10,Nursing Care OP,23181.55,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BELLE VUE HOUSE,6611148,Revenue,1MG20,Residential Care OP,12282.96,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,BELLE VUE HOUSE,6611149,Revenue,1MG10,Nursing Care OP,5792.27,
Children's Services,Invoice,Capital Expenditure,24/06/2015,BENFIELD MOTORS GROUP,6620700,Capital,2KF01,Facility Services,13987.28,
Environment & Regeneration,NS: City Transport         ,Capital Expenditure,08/06/2015,BENFIELD MOTORS GROUP,6584910,Capital,2KF01,Facility Services,13762.28,
Environment & Regeneration,NS: City Transport         ,Capital Expenditure,03/06/2015,BENFIELD MOTORS GROUP,6584909,Capital,2KF01,Facility Services,15560.29,
Environment & Regeneration,NS: City Transport         ,Transport,08/06/2015,BENFIELD MOTORS GROUP,6584910,Revenue,1KESW,Fleet SLA Costs & Income,225,
Environment & Regeneration,NS: City Transport         ,Transport,03/06/2015,BENFIELD MOTORS GROUP,6584909,Revenue,1KESW,Fleet SLA Costs & Income,225,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,05/06/2015,BENTON AUTO ELECTRICS,6602021,Revenue,1KESH,Light Workshop Routine Repair,265,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,26/06/2015,BENTON AUTO ELECTRICS,6604071,Revenue,3KES1,Fleetmaster Stores Account,430,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,24/06/2015,BERENDSEN,6613821,Revenue,1KENB,Fleet Workshops OH,925.64,
Adult and Culture,Adult Serv Finance         ,Supplies & Services,42172,BETASOFT,6602273,Revenue,1MR53,Care First,10205.66,
Environment & Regeneration,Highways                               ,Premises,25/06/2015,BETTABLAST BLASTING SERVICES,6595234,Revenue,1KEMC,Highways,1400,
Children's Services,Educ Fossway S/Start       ,Premises,05/06/2015,BETTAKLEEN LTD,6602045,Revenue,1EEE1,East CC Central Costs,800.11,
Children's Services,Educ Fossway S/Start       ,Premises,19/06/2015,BETTAKLEEN LTD,6612666,Revenue,1EEE1,East CC Central Costs,800.11,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42173,BETTER DAYS,6613885,Revenue,1MK94,Skills For People,3761.14,
Chief Executive's,CD - Markets                     ,Supplies & Services,26/06/2015,BIC PLC,6623033,Revenue,1DR03,Grainger Market,636,
Chief Executive's,CD - Markets                     ,Supplies & Services,23/06/2015,BIC PLC,6617861,Revenue,1DR03,Grainger Market,1071,
Environment & Regeneration,E&R Fairer Housing             ,Third Party Payments,02/06/2015,BIG JIGSAW LTD,6595883,Revenue,1VH31,FHU General & Delivery Team,1289,
