Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Item Text,Merchant category,Amount
Communities & Local Government,DCLG,01/12/2015,"IT - PC, Network & Hardware","Strategy, Communications and Private Office",WPCHRG.COM               8772733049,1000004070,Polling function add on for DCLG intranet,COMPUTER NETWORK INFORMATION SERVICES,136.38
Communities & Local Government,DCLG,03/12/2015,Publications,Finance & Corporate Services,AMAZON UK MARKETPLACE    800-279-6620,1000004071,5 x Blackberry chargers. Fujitsu no longer supply,BOOK STORES,14.95
Communities & Local Government,DCLG,08/12/2015,Government Procurement Card (expense),Local Government & Public Services,AMAZON UK MARKETPLACE    800-279-6620,1000004072,Printheads for HP printer,MISC. SPECIALITY RETAIL,269.86
Communities & Local Government,DCLG,09/12/2015,"IT - PC, Network & Hardware",Troubled Families,DROPBOX 5NRKNWF5VJMN     415-986-7057,1000004073,Needed for extra file space for filming case study,COMPUTER NETWORK INFORMATION SERVICES,66.00
Communities & Local Government,DCLG,14/12/2015,"IT - PC, Network & Hardware",Finance & Corporate Services,1&1 INTERNET LIMITED     GLOUCESTER,1000004074,monthly sub for domain name needed for testing,COMPUTER NETWORK INFORMATION SERVICES,2.39
Communities & Local Government,DCLG,15/12/2015,Publications,Local Government & Public Services,AMAZON UK MARKETPLACE    800-279-6620,1000004075,Display frames,BOOK STORES,68.34
Communities & Local Government,DCLG,21/12/2015,Government Procurement Card (expense),Finance & Corporate Services,AMAZON UK MARKETPLACE    800-279-6620,1000004077,6 x Blackberry batteries.,MISC. SPECIALITY RETAIL,31.68
Communities & Local Government,DCLG,21/12/2015,Government Procurement Card (expense),"Strategy, Communications and Private Office",AVVEL INTERNATIONAL      +447713503055,1000004076,Software tool to enable app to smoke alarm comms,ELECTRONICS SHOPS,147.50
