Age;Abies;Acer;Achillea-type;Aconitum;Adonis;Aesculus;Alchemilla;Allium;Alnus glutinosa/Alnus incana;Alnus viridis;Amaranthaceae;Anchusa;Anemone-type;Aquilegia-type;Arbutus;Arctostaphylos;Arenaria;Armeria/Limonium;Arnica montana;Artemisia;Aruncus-type;Asphodelus-type;Aster-type;Astragalus;Ballota;Bartsia-type;Berberis-type;Betula alba type;Betula nana-type;Bidens-type;Boraginaceae;Brassicaceae;Bruckenthalia;Bunium-type;Bupleurum-type;Buxus;Calluna;Campanulaceae;Cannabis/Humulus-type;Caprifoliaceae;Caragana;Carduus-type;Carpinus betulus-type;Carpinus orientalis/Ostrya carpinifolia;Caryophyllaceae;Castanea;Cedrus;Centaurea;Centaurea cyanus;Centaurea solstitialis-type;Cerastium/Stellaria-type;Cerealia-type;Cerinthe;Chenopodiaceae;Cirsium-type;Cistus;Clematis-type;Compositae unidff;Convolvulus;Cornus;Corylus;Cotinus-type;Cousinia-type;Crassulaceae undifferentiated;Crataegus-type;Cupressaceae;Cuscuta;Cyperaceae;Daphne;Digitalis-type;Dipsacaceae;Dryas;Echium-type;Empetrum;Ephedra;Epilobium;Erica;Ericaceae;Eryngium-type;Euphorbia;Fabaceae;Fagopyrum;Fagus;Fagus orientalis;Filago-type;Filipendula-type;Frangula;Fraxinus excelsior-type;Fraxinus ornus-type;Galium-type;Gentiana/Gentianella;Geraniaceae;Geum-type;Hedera;Helianthemum;Heracleum;Herniaria-type;Hippophae;Hornungia-type;Hypericum-type;Ilex;Jasione;Juglans;Juniperus;Knautia;Lamiaceae;Larix;Ledum;Ligusticum mutellina;Ligustrum;Liliaceae;Linaceae;Linnaea;Loiseleuria procumbens;Lonicera;Luzula;Lysimachia;Lythrum;Melampyrum;Mercurialis;Myrica gale;Myrtus;Narthecium;Noaea-type;Olea;Omphalodes-type;Onagraceae;Onobrychis-type;Oxalis;Oxyria-type;Paliurus;Papaveraceae;Parnassia-type;Pedicularis;Phillyrea;Phyteuma-type;Picea;Pimpinella-type;Pinus haploxylon-type;Pinus undifferentiated/Pinus diploxylon type;Pistacia-type;Plantago;Platanus;Plumbaginaceae;Poaceae;Polemonium;Polygala-type;Polygonaceae;Polygonum alpinum/bistorta/viviparum;Polygonum aviculare-type;Populus tremula-type;Potentilla;Primula;Prunella;Prunus;Pulsatilla;Quercus deciduous;Quercus evergreen;Ranunculus;Reseda;Rhamnus-type;Rhinanthus;Rhododendron-type;Ribes;Rosa;Rosaceae tree;Rosmarinus-type;Rubiaceae;Rubus;Rumex;Salix;Salix herbacea/polaris;Sambucus;Sanguisorba;Sanicula;Saussurea;Saxifraga;Scabiosa-type;Scrophularia-type;Sedum;Selaginella;Senecio-type;Silene-type;Solanaceae;Soldanella;Sorbus/Cotoneaster;Spergula-type;Succisa;Symphytum;Taxus;Thalictrum;Thymus-type;Tilia;Trientalis;Trifolium-type;Trollius-type;Ulex-type;Ulmus;Umbelliferae;Urtica;Vaccinium-type;Valeriana;Verbascum-type;Veronica;Viburnum-type;Viola-type;Viscum album-type;Vitis;Xanthium-type;Zygophyllaceae
16974.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;63;10;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;19;1;0;0;3;0;0;4;0;0;0;0;0;0;943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;6;0;0;0;0;3;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;29;66;0;1;0;0;73;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
16850.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;35;0;0;0;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;15;0;0;0;3;0;0;3;0;0;0;0;0;0;1095;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;8;0;0;0;0;5;0;0;2;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;56;107;0;1;0;0;107;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16754.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;28;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;3;0;0;0;0;0;0;0;0;0;408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;46;149;0;0;0;0;36;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16668.1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;1;0;0;0;0;69;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;2;0;0;2;0;0;0;0;0;0;162;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;7;0;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;45;147;0;0;0;0;46;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16578.9;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;9;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;52;174;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
16497.2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;22;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;13;0;0;0;3;0;0;1;0;0;0;0;0;0;405;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;61;204;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
16392.3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;1;0;0;0;0;170;15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;1;0;0;0;0;0;0;526;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;61;143;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16287.5;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;1;0;0;0;0;125;28;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14;0;0;0;0;0;0;1;0;0;0;0;0;0;603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;61;120;0;3;0;0;71;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16182.1;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;50;0;0;1;0;0;0;0;57;16;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;47;0;0;0;5;0;0;1;0;0;0;0;0;0;90;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;69;149;0;2;0;0;64;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16077.2;0;0;5;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;31;0;0;4;0;0;0;0;40;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;79;0;0;0;14;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;6;0;0;0;0;5;0;0;0;0;0;0;0;0;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;62;150;0;4;0;0;83;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
