Created as New Dataset,Sample 022 By Administrator Date Saturday, February 11 2017
cm-1,%T
3650.00,98.37
3649.00,98.30
3648.00,98.22
3647.00,98.20
3646.00,98.23
3645.00,98.26
3644.00,98.28
3643.00,98.28
3642.00,98.28
3641.00,98.26
3640.00,98.25
3639.00,98.24
3638.00,98.23
3637.00,98.22
3636.00,98.21
3635.00,98.20
3634.00,98.20
3633.00,98.21
3632.00,98.22
3631.00,98.22
3630.00,98.24
3629.00,98.23
3628.00,98.19
3627.00,98.14
3626.00,98.10
3625.00,98.07
3624.00,98.06
3623.00,98.06
3622.00,98.06
3621.00,98.05
3620.00,98.03
3619.00,98.00
3618.00,97.97
3617.00,97.94
3616.00,97.93
3615.00,97.93
3614.00,97.94
3613.00,97.95
3612.00,97.96
3611.00,97.96
3610.00,97.93
3609.00,97.89
3608.00,97.85
3607.00,97.82
3606.00,97.80
3605.00,97.79
3604.00,97.78
3603.00,97.77
3602.00,97.77
3601.00,97.76
3600.00,97.76
3599.00,97.75
3598.00,97.73
3597.00,97.70
3596.00,97.68
3595.00,97.66
3594.00,97.65
3593.00,97.66
3592.00,97.67
3591.00,97.68
3590.00,97.68
3589.00,97.65
3588.00,97.62
3587.00,97.58
3586.00,97.57
3585.00,97.58
3584.00,97.60
3583.00,97.61
3582.00,97.61
3581.00,97.60
3580.00,97.59
3579.00,97.57
3578.00,97.56
3577.00,97.56
3576.00,97.56
3575.00,97.55
3574.00,97.53
3573.00,97.51
3572.00,97.50
3571.00,97.48
3570.00,97.44
3569.00,97.41
3568.00,97.37
3567.00,97.33
3566.00,97.31
3565.00,97.32
3564.00,97.35
3563.00,97.37
3562.00,97.38
3561.00,97.38
3560.00,97.37
3559.00,97.36
3558.00,97.35
3557.00,97.35
3556.00,97.34
3555.00,97.33
3554.00,97.32
3553.00,97.31
3552.00,97.30
3551.00,97.29
3550.00,97.28
3549.00,97.27
3548.00,97.25
3547.00,97.23
3546.00,97.21
3545.00,97.20
3544.00,97.19
3543.00,97.18
3542.00,97.18
3541.00,97.17
3540.00,97.16
3539.00,97.15
3538.00,97.14
3537.00,97.12
3536.00,97.11
3535.00,97.10
3534.00,97.09
3533.00,97.08
3532.00,97.07
3531.00,97.06
3530.00,97.05
3529.00,97.03
3528.00,97.01
3527.00,96.99
3526.00,96.97
3525.00,96.95
3524.00,96.93
3523.00,96.92
3522.00,96.91
3521.00,96.91
3520.00,96.91
