Created as New Dataset,Sample 022 By Administrator Date Saturday, February 11 2017
cm-1,%T
2468.00,98.14
2467.00,98.15
2466.00,98.16
2465.00,98.15
2464.00,98.14
2463.00,98.13
2462.00,98.13
2461.00,98.12
2460.00,98.11
2459.00,98.11
2458.00,98.12
2457.00,98.12
2456.00,98.12
2455.00,98.12
2454.00,98.13
2453.00,98.13
2452.00,98.14
2451.00,98.15
2450.00,98.16
2449.00,98.16
2448.00,98.15
2447.00,98.15
2446.00,98.15
2445.00,98.16
2444.00,98.17
2443.00,98.18
2442.00,98.19
2441.00,98.19
2440.00,98.17
2439.00,98.16
2438.00,98.16
2437.00,98.17
2436.00,98.18
2435.00,98.19
2434.00,98.20
2433.00,98.21
2432.00,98.21
2431.00,98.20
2430.00,98.20
2429.00,98.20
2428.00,98.20
2427.00,98.21
2426.00,98.21
2425.00,98.21
2424.00,98.21
2423.00,98.21
2422.00,98.22
2421.00,98.22
2420.00,98.22
2419.00,98.22
2418.00,98.22
2417.00,98.22
2416.00,98.22
2415.00,98.23
2414.00,98.24
2413.00,98.25
2412.00,98.25
2411.00,98.25
2410.00,98.25
2409.00,98.26
2408.00,98.26
2407.00,98.28
2406.00,98.29
2405.00,98.30
2404.00,98.30
2403.00,98.30
2402.00,98.30
2401.00,98.29
2400.00,98.29
2399.00,98.29
2398.00,98.30
2397.00,98.30
2396.00,98.31
2395.00,98.31
2394.00,98.31
2393.00,98.31
2392.00,98.32
2391.00,98.33
2390.00,98.34
2389.00,98.35
2388.00,98.35
2387.00,98.34
2386.00,98.34
2385.00,98.35
2384.00,98.35
2383.00,98.36
2382.00,98.36
2381.00,98.37
2380.00,98.37
2379.00,98.39
2378.00,98.42
2377.00,98.45
2376.00,98.46
2375.00,98.46
2374.00,98.45
2373.00,98.42
2372.00,98.40
2371.00,98.39
2370.00,98.40
2369.00,98.41
2368.00,98.40
2367.00,98.39
2366.00,98.39
2365.00,98.38
2364.00,98.35
2363.00,98.31
2362.00,98.29
2361.00,98.27
2360.00,98.27
2359.00,98.30
2358.00,98.33
2357.00,98.35
2356.00,98.36
2355.00,98.36
2354.00,98.37
2353.00,98.37
2352.00,98.35
2351.00,98.35
2350.00,98.35
2349.00,98.35
2348.00,98.35
2347.00,98.35
2346.00,98.34
2345.00,98.34
2344.00,98.34
2343.00,98.36
2342.00,98.37
2341.00,98.37
2340.00,98.35
2339.00,98.33
2338.00,98.33
2337.00,98.33
2336.00,98.34
2335.00,98.34
2334.00,98.34
2333.00,98.34
2332.00,98.34
2331.00,98.36
2330.00,98.37
2329.00,98.37
2328.00,98.33
2327.00,98.28
2326.00,98.24
2325.00,98.21
2324.00,98.20
2323.00,98.22
2322.00,98.26
2321.00,98.29
2320.00,98.29
2319.00,98.29
2318.00,98.28
2317.00,98.28
2316.00,98.27
2315.00,98.26
2314.00,98.26
2313.00,98.26
2312.00,98.26
2311.00,98.26
2310.00,98.28
2309.00,98.29
2308.00,98.29
2307.00,98.29
2306.00,98.28
2305.00,98.27
2304.00,98.25
2303.00,98.25
2302.00,98.24
2301.00,98.24
2300.00,98.24
2299.00,98.25
2298.00,98.26
2297.00,98.26
2296.00,98.25
2295.00,98.23
2294.00,98.22
2293.00,98.20
2292.00,98.18
2291.00,98.16
2290.00,98.16
2289.00,98.16
2288.00,98.16
2287.00,98.16
2286.00,98.16
2285.00,98.16
2284.00,98.15
2283.00,98.15
2282.00,98.16
2281.00,98.17
2280.00,98.17
2279.00,98.17
2278.00,98.18
2277.00,98.19
2276.00,98.21
2275.00,98.22
2274.00,98.24
2273.00,98.24
2272.00,98.23
2271.00,98.22
2270.00,98.21
2269.00,98.21
2268.00,98.21
2267.00,98.22
2266.00,98.23
2265.00,98.24
2264.00,98.25
2263.00,98.25
2262.00,98.25
2261.00,98.24
2260.00,98.22
2259.00,98.22
2258.00,98.24
2257.00,98.26
2256.00,98.27
2255.00,98.28
2254.00,98.29
2253.00,98.29
2252.00,98.28
2251.00,98.27
2250.00,98.25
2249.00,98.23
2248.00,98.21
2247.00,98.21
2246.00,98.22
2245.00,98.22
2244.00,98.22
2243.00,98.22
2242.00,98.23
2241.00,98.24
2240.00,98.23
2239.00,98.23
2238.00,98.23
2237.00,98.22
2236.00,98.21
2235.00,98.19
2234.00,98.19
2233.00,98.20
2232.00,98.20
2231.00,98.21
2230.00,98.22
2229.00,98.22
2228.00,98.21
2227.00,98.21
2226.00,98.22
2225.00,98.22
2224.00,98.21
2223.00,98.20
2222.00,98.21
2221.00,98.22
2220.00,98.21
2219.00,98.21
2218.00,98.21
2217.00,98.20
2216.00,98.19
2215.00,98.18
2214.00,98.19
2213.00,98.19
2212.00,98.18
2211.00,98.18
2210.00,98.19
2209.00,98.19
2208.00,98.20
2207.00,98.21
2206.00,98.22
2205.00,98.22
2204.00,98.20
2203.00,98.19
2202.00,98.19
2201.00,98.19
2200.00,98.19
2199.00,98.20
2198.00,98.22
2197.00,98.21
2196.00,98.19
2195.00,98.19
2194.00,98.21
2193.00,98.22
2192.00,98.22
2191.00,98.23
2190.00,98.25
2189.00,98.26
2188.00,98.26
2187.00,98.28
2186.00,98.30
2185.00,98.30
2184.00,98.30
2183.00,98.31
2182.00,98.34
2181.00,98.34
2180.00,98.30
2179.00,98.28
2178.00,98.29
2177.00,98.31
2176.00,98.32
2175.00,98.33
2174.00,98.31
2173.00,98.28
2172.00,98.23
2171.00,98.21
2170.00,98.21
2169.00,98.20
2168.00,98.17
2167.00,98.14
2166.00,98.15
2165.00,98.15
2164.00,98.14
2163.00,98.13
2162.00,98.15
2161.00,98.20
2160.00,98.30
2159.00,98.46
2158.00,98.60
2157.00,98.65
2156.00,98.61
2155.00,98.55
2154.00,98.51
2153.00,98.49
2152.00,98.47
2151.00,98.47
2150.00,98.47
2149.00,98.46
2148.00,98.45
2147.00,98.46
2146.00,98.49
2145.00,98.49
2144.00,98.48
2143.00,98.46
2142.00,98.47
2141.00,98.47
2140.00,98.46
2139.00,98.46
2138.00,98.48
2137.00,98.49
2136.00,98.49
2135.00,98.50
2134.00,98.52
2133.00,98.53
2132.00,98.53
2131.00,98.54
2130.00,98.55
2129.00,98.55
2128.00,98.55
2127.00,98.55
2126.00,98.54
2125.00,98.53
2124.00,98.50
2123.00,98.49
2122.00,98.49
2121.00,98.48
2120.00,98.47
2119.00,98.47
2118.00,98.47
2117.00,98.46
2116.00,98.44
2115.00,98.42
2114.00,98.42
2113.00,98.42
2112.00,98.42
2111.00,98.42
2110.00,98.43
2109.00,98.43
2108.00,98.43
2107.00,98.43
2106.00,98.44
2105.00,98.44
2104.00,98.43
2103.00,98.42
2102.00,98.43
2101.00,98.43
2100.00,98.42
2099.00,98.42
2098.00,98.43
2097.00,98.44
2096.00,98.44
2095.00,98.45
2094.00,98.47
2093.00,98.47
2092.00,98.45
2091.00,98.44
2090.00,98.44
2089.00,98.44
2088.00,98.43
2087.00,98.42
2086.00,98.42
2085.00,98.41
2084.00,98.39
2083.00,98.39
2082.00,98.39
2081.00,98.38
2080.00,98.37
2079.00,98.36
2078.00,98.36
2077.00,98.35
2076.00,98.33
2075.00,98.33
2074.00,98.35
2073.00,98.36
2072.00,98.36
2071.00,98.37
2070.00,98.39
2069.00,98.39
2068.00,98.38
2067.00,98.37
2066.00,98.38
2065.00,98.38
2064.00,98.36
2063.00,98.36
2062.00,98.36
2061.00,98.35
2060.00,98.35
2059.00,98.37
2058.00,98.39
2057.00,98.40
2056.00,98.38
2055.00,98.38
2054.00,98.37
2053.00,98.34
2052.00,98.29
2051.00,98.27
2050.00,98.29
2049.00,98.33
2048.00,98.35
2047.00,98.38
2046.00,98.41
2045.00,98.41
2044.00,98.38
2043.00,98.37
2042.00,98.38
2041.00,98.39
2040.00,98.38
2039.00,98.39
2038.00,98.42
2037.00,98.42
2036.00,98.40
2035.00,98.40
2034.00,98.43
2033.00,98.46
2032.00,98.49
2031.00,98.54
2030.00,98.59
2029.00,98.59
2028.00,98.56
2027.00,98.55
2026.00,98.57
2025.00,98.59
2024.00,98.58
2023.00,98.58
2022.00,98.62
2021.00,98.64
2020.00,98.64
2019.00,98.64
2018.00,98.65
2017.00,98.65
2016.00,98.63
2015.00,98.63
2014.00,98.64
2013.00,98.62
2012.00,98.57
2011.00,98.54
2010.00,98.56
2009.00,98.60
2008.00,98.64
2007.00,98.69
2006.00,98.74
2005.00,98.74
2004.00,98.70
2003.00,98.66
2002.00,98.63
2001.00,98.59
2000.00,98.54
1999.00,98.51
1998.00,98.52
1997.00,98.53
1996.00,98.54
1995.00,98.55
1994.00,98.57
1993.00,98.58
1992.00,98.56
1991.00,98.55
1990.00,98.55
1989.00,98.53
1988.00,98.49
1987.00,98.46
1986.00,98.46
1985.00,98.46
1984.00,98.45
1983.00,98.43
1982.00,98.41
1981.00,98.38
1980.00,98.34
1979.00,98.34
1978.00,98.40
1977.00,98.46
1976.00,98.52
1975.00,98.59
1974.00,98.66
1973.00,98.68
1972.00,98.67
1971.00,98.67
1970.00,98.68
1969.00,98.66
1968.00,98.61
1967.00,98.59
1966.00,98.60
1965.00,98.60
1964.00,98.58
1963.00,98.58
1962.00,98.60
1961.00,98.63
1960.00,98.65
1959.00,98.68
1958.00,98.72
1957.00,98.73
1956.00,98.71
1955.00,98.69
1954.00,98.70
1953.00,98.69
1952.00,98.67
1951.00,98.67
1950.00,98.69
1949.00,98.70
1948.00,98.70
1947.00,98.71
1946.00,98.73
1945.00,98.73
1944.00,98.71
1943.00,98.71
1942.00,98.72
1941.00,98.73
1940.00,98.73
1939.00,98.73
1938.00,98.74
1937.00,98.74
1936.00,98.71
1935.00,98.69
1934.00,98.69
1933.00,98.68
1932.00,98.66
1931.00,98.67
1930.00,98.70
1929.00,98.72
1928.00,98.72
1927.00,98.72
1926.00,98.73
1925.00,98.72
1924.00,98.71
1923.00,98.70
1922.00,98.71
1921.00,98.70
1920.00,98.69
1919.00,98.70
1918.00,98.73
1917.00,98.74
1916.00,98.74
1915.00,98.74
1914.00,98.74
1913.00,98.72
1912.00,98.70
1911.00,98.70
1910.00,98.72
1909.00,98.71
1908.00,98.70
1907.00,98.69
1906.00,98.70
1905.00,98.69
1904.00,98.68
1903.00,98.70
1902.00,98.73
1901.00,98.74
1900.00,98.74
1899.00,98.74
1898.00,98.75
1897.00,98.75
1896.00,98.74
1895.00,98.75
1894.00,98.76
1893.00,98.76
1892.00,98.74
1891.00,98.74
1890.00,98.75
1889.00,98.77
1888.00,98.77
1887.00,98.77
1886.00,98.78
1885.00,98.78
1884.00,98.78
1883.00,98.79
1882.00,98.81
1881.00,98.82
1880.00,98.81
1879.00,98.81
1878.00,98.82
1877.00,98.82
1876.00,98.81
1875.00,98.80
1874.00,98.80
1873.00,98.80
1872.00,98.78
1871.00,98.78
1870.00,98.82
1869.00,98.84
1868.00,98.83
1867.00,98.82
1866.00,98.83
1865.00,98.83
1864.00,98.82
1863.00,98.81
1862.00,98.82
1861.00,98.82
1860.00,98.82
1859.00,98.83
1858.00,98.85
1857.00,98.85
1856.00,98.84
1855.00,98.83
1854.00,98.85
1853.00,98.86
1852.00,98.85
1851.00,98.84
1850.00,98.84
1849.00,98.84
1848.00,98.83
1847.00,98.84
1846.00,98.89
1845.00,98.92
1844.00,98.90
1843.00,98.88
1842.00,98.87
1841.00,98.86
1840.00,98.84
1839.00,98.83
1838.00,98.83
1837.00,98.83
1836.00,98.82
1835.00,98.81
1834.00,98.80
1833.00,98.77
1832.00,98.72
1831.00,98.71
1830.00,98.73
1829.00,98.74
1828.00,98.73
1827.00,98.72
1826.00,98.74
1825.00,98.75
1824.00,98.75
1823.00,98.76
1822.00,98.76
1821.00,98.76
1820.00,98.74
1819.00,98.73
1818.00,98.74
1817.00,98.73
1816.00,98.71
1815.00,98.69
1814.00,98.69
1813.00,98.67
1812.00,98.63
1811.00,98.60
1810.00,98.57
1809.00,98.53
1808.00,98.46
1807.00,98.37
1806.00,98.26
1805.00,98.11
1804.00,97.92
1803.00,97.70
1802.00,97.47
1801.00,97.22
1800.00,97.00
1799.00,96.85
1798.00,96.76
1797.00,96.72
1796.00,96.68
1795.00,96.68
1794.00,96.75
1793.00,96.90
1792.00,97.10
1791.00,97.32
1790.00,97.51
1789.00,97.66
1788.00,97.78
1787.00,97.88
1786.00,97.96
1785.00,98.01
1784.00,98.02
1783.00,98.02
1782.00,98.04
1781.00,98.06
1780.00,98.07
1779.00,98.06
1778.00,98.06
1777.00,98.04
1776.00,98.01
1775.00,98.00
1774.00,98.01
1773.00,98.01
1772.00,97.96
1771.00,97.89
1770.00,97.86
1769.00,97.83
1768.00,97.80
1767.00,97.77
1766.00,97.74
1765.00,97.71
1764.00,97.66
1763.00,97.63
1762.00,97.61
1761.00,97.58
1760.00,97.53
1759.00,97.48
1758.00,97.45
1757.00,97.42
1756.00,97.38
1755.00,97.33
1754.00,97.28
1753.00,97.22
1752.00,97.14
1751.00,97.08
1750.00,97.07
1749.00,97.08
1748.00,97.08
1747.00,97.06
1746.00,97.03
1745.00,96.97
1744.00,96.88
1743.00,96.82
1742.00,96.80
1741.00,96.77
1740.00,96.73
1739.00,96.68
1738.00,96.65
1737.00,96.63
1736.00,96.61
1735.00,96.61
1734.00,96.61
1733.00,96.54
1732.00,96.43
1731.00,96.34
1730.00,96.28
1729.00,96.25
1728.00,96.24
1727.00,96.23
1726.00,96.23
1725.00,96.21
1724.00,96.18
1723.00,96.16
1722.00,96.14
1721.00,96.10
1720.00,96.05
1719.00,96.05
1718.00,96.16
1717.00,96.22
1716.00,96.14
1715.00,96.02
1714.00,95.95
1713.00,95.91
1712.00,95.87
1711.00,95.84
1710.00,95.83
1709.00,95.79
1708.00,95.74
1707.00,95.70
1706.00,95.68
1705.00,95.65
1704.00,95.61
1703.00,95.59
1702.00,95.60
1701.00,95.58
1700.00,95.55
1699.00,95.53
1698.00,95.51
1697.00,95.39
1696.00,95.17
1695.00,95.01
1694.00,94.91
1693.00,94.80
1692.00,94.66
1691.00,94.51
1690.00,94.37
1689.00,94.22
1688.00,94.07
1687.00,93.93
1686.00,93.77
1685.00,93.47
1684.00,93.03
1683.00,92.75
1682.00,92.62
1681.00,92.46
1680.00,92.24
1679.00,92.05
1678.00,91.91
1677.00,91.75
1676.00,91.50
1675.00,91.22
1674.00,91.00
1673.00,90.82
1672.00,90.64
1671.00,90.45
1670.00,90.19
1669.00,89.88
1668.00,89.64
1667.00,89.51
1666.00,89.42
1665.00,89.32
1664.00,89.16
1663.00,88.97
1662.00,88.80
1661.00,88.66
1660.00,88.53
1659.00,88.43
1658.00,88.35
1657.00,88.27
1656.00,88.16
1655.00,88.03
1654.00,87.89
1653.00,87.73
1652.00,87.66
1651.00,87.65
1650.00,87.64
1649.00,87.60
1648.00,87.55
1647.00,87.46
1646.00,87.39
1645.00,87.36
1644.00,87.33
1643.00,87.31
1642.00,87.30
1641.00,87.28
1640.00,87.23
1639.00,87.19
1638.00,87.18
1637.00,87.14
1636.00,87.01
1635.00,86.92
1634.00,86.96
1633.00,87.00
1632.00,87.01
1631.00,87.01
1630.00,87.03
1629.00,87.05
1628.00,87.08
1627.00,87.13
1626.00,87.21
1625.00,87.30
1624.00,87.39
1623.00,87.51
1622.00,87.63
1621.00,87.75
1620.00,87.85
1619.00,87.97
1618.00,88.15
1617.00,88.37
1616.00,88.54
1615.00,88.67
1614.00,88.80
1613.00,88.94
1612.00,89.08
1611.00,89.25
1610.00,89.45
1609.00,89.65
1608.00,89.85
1607.00,90.05
1606.00,90.25
1605.00,90.45
1604.00,90.65
1603.00,90.85
1602.00,91.05
1601.00,91.22
1600.00,91.36
1599.00,91.50
1598.00,91.63
1597.00,91.75
1596.00,91.85
1595.00,91.94
1594.00,92.03
1593.00,92.09
1592.00,92.13
1591.00,92.18
1590.00,92.23
1589.00,92.26
1588.00,92.30
1587.00,92.34
1586.00,92.40
1585.00,92.44
1584.00,92.47
1583.00,92.51
1582.00,92.55
1581.00,92.59
1580.00,92.62
1579.00,92.68
1578.00,92.77
1577.00,92.89
1576.00,92.96
1575.00,93.00
1574.00,93.02
1573.00,93.01
1572.00,93.00
1571.00,93.00
1570.00,93.03
1569.00,93.05
1568.00,93.06
1567.00,93.09
1566.00,93.12
1565.00,93.13
1564.00,93.13
1563.00,93.13
1562.00,93.11
1561.00,92.98
1560.00,92.82
1559.00,92.85
1558.00,93.00
1557.00,93.10
1556.00,93.12
1555.00,93.09
1554.00,93.03
1553.00,92.93
1552.00,92.81
1551.00,92.69
1550.00,92.58
1549.00,92.46
1548.00,92.36
1547.00,92.28
1546.00,92.20
1545.00,92.08
1544.00,91.96
1543.00,91.89
1542.00,91.87
1541.00,91.59
1540.00,90.94
1539.00,90.56
1538.00,90.50
1537.00,90.42
1536.00,90.31
1535.00,90.14
1534.00,89.90
1533.00,89.59
1532.00,89.34
1531.00,89.21
1530.00,89.09
1529.00,88.92
1528.00,88.69
1527.00,88.47
1526.00,88.26
1525.00,88.04
1524.00,87.83
1523.00,87.60
1522.00,87.22
1521.00,86.64
1520.00,86.17
1519.00,85.87
1518.00,85.49
1517.00,84.90
1516.00,84.28
1515.00,83.88
1514.00,83.59
1513.00,83.26
1512.00,82.87
1511.00,82.54
1510.00,82.29
1509.00,82.05
1508.00,81.65
1507.00,81.00
1506.00,80.56
1505.00,80.43
1504.00,80.33
1503.00,80.21
1502.00,80.06
1501.00,79.83
1500.00,79.55
1499.00,79.28
1498.00,78.96
1497.00,78.47
1496.00,77.90
1495.00,77.49
1494.00,77.21
1493.00,76.90
1492.00,76.52
1491.00,76.05
1490.00,75.45
1489.00,74.76
1488.00,74.17
1487.00,73.73
1486.00,73.35
1485.00,72.96
1484.00,72.58
1483.00,72.17
1482.00,71.69
1481.00,71.15
1480.00,70.64
1479.00,70.24
1478.00,69.83
1477.00,69.36
1476.00,68.86
1475.00,68.44
1474.00,67.94
1473.00,67.11
1472.00,66.22
1471.00,65.67
1470.00,65.33
1469.00,65.01
1468.00,64.66
1467.00,64.26
1466.00,63.73
1465.00,63.01
1464.00,62.32
1463.00,61.86
1462.00,61.54
1461.00,61.25
1460.00,60.94
1459.00,60.60
1458.00,59.96
1457.00,58.84
1456.00,57.92
1455.00,57.49
1454.00,57.15
1453.00,56.74
1452.00,56.28
1451.00,55.86
1450.00,55.43
1449.00,54.88
1448.00,54.25
1447.00,53.68
1446.00,53.23
1445.00,52.80
1444.00,52.38
1443.00,51.96
1442.00,51.53
1441.00,51.10
1440.00,50.72
1439.00,50.39
1438.00,49.95
1437.00,49.22
1436.00,48.42
1435.00,47.89
1434.00,47.55
1433.00,47.19
1432.00,46.77
1431.00,46.30
1430.00,45.77
1429.00,45.22
1428.00,44.79
1427.00,44.49
1426.00,44.19
1425.00,43.77
1424.00,43.29
1423.00,42.93
1422.00,42.71
1421.00,42.48
1420.00,42.11
1419.00,41.62
1418.00,41.17
1417.00,40.86
1416.00,40.70
1415.00,40.66
1414.00,40.63
1413.00,40.59
1412.00,40.57
1411.00,40.65
1410.00,40.79
1409.00,40.95
1408.00,41.16
1407.00,41.45
1406.00,41.77
1405.00,42.05
1404.00,42.33
1403.00,42.65
1402.00,42.92
1401.00,43.12
1400.00,43.26
1399.00,43.40
1398.00,43.56
1397.00,43.73
1396.00,44.01
1395.00,44.41
1394.00,44.86
1393.00,45.31
1392.00,45.80
1391.00,46.35
1390.00,46.92
1389.00,47.48
1388.00,48.09
1387.00,48.75
1386.00,49.35
1385.00,49.88
1384.00,50.42
1383.00,51.00
1382.00,51.57
1381.00,52.12
1380.00,52.68
1379.00,53.26
1378.00,53.81
1377.00,54.31
1376.00,54.82
1375.00,55.38
1374.00,55.93
1373.00,56.42
1372.00,56.91
1371.00,57.41
1370.00,57.88
1369.00,58.34
1368.00,58.80
1367.00,59.26
1366.00,59.68
1365.00,60.06
1364.00,60.47
1363.00,60.93
1362.00,61.37
1361.00,61.79
1360.00,62.23
1359.00,62.69
1358.00,63.13
1357.00,63.56
1356.00,64.00
1355.00,64.45
1354.00,64.87
1353.00,65.25
1352.00,65.65
1351.00,66.05
1350.00,66.42
1349.00,66.76
1348.00,67.11
1347.00,67.46
1346.00,67.79
1345.00,68.09
1344.00,68.40
1343.00,68.70
1342.00,68.97
1341.00,69.20
1340.00,69.43
1339.00,69.64
1338.00,69.79
1337.00,69.92
1336.00,70.05
1335.00,70.17
1334.00,70.24
1333.00,70.25
1332.00,70.25
1331.00,70.22
1330.00,70.16
1329.00,70.06
1328.00,69.95
1327.00,69.85
1326.00,69.72
1325.00,69.58
1324.00,69.46
1323.00,69.37
1322.00,69.29
1321.00,69.23
1320.00,69.22
1319.00,69.28
1318.00,69.39
1317.00,69.59
1316.00,69.90
1315.00,70.35
1314.00,70.91
1313.00,71.55
1312.00,72.26
1311.00,72.95
1310.00,73.58
1309.00,74.14
1308.00,74.63
1307.00,75.06
1306.00,75.40
1305.00,75.69
1304.00,75.96
1303.00,76.21
1302.00,76.43
1301.00,76.63
1300.00,76.82
1299.00,77.02
1298.00,77.18
1297.00,77.34
1296.00,77.50
1295.00,77.68
1294.00,77.83
1293.00,77.98
1292.00,78.15
1291.00,78.31
1290.00,78.46
1289.00,78.60
1288.00,78.74
1287.00,78.89
1286.00,79.02
1285.00,79.15
1284.00,79.28
1283.00,79.41
1282.00,79.52
1281.00,79.61
1280.00,79.70
1279.00,79.79
1278.00,79.84
1277.00,79.87
1276.00,79.89
1275.00,79.91
1274.00,79.91
1273.00,79.88
1272.00,79.86
1271.00,79.82
1270.00,79.75
1269.00,79.66
1268.00,79.56
1267.00,79.45
1266.00,79.32
1265.00,79.19
1264.00,79.10
1263.00,79.04
1262.00,79.00
1261.00,78.98
1260.00,79.00
1259.00,79.04
1258.00,79.08
1257.00,79.12
1256.00,79.18
1255.00,79.23
1254.00,79.26
1253.00,79.28
1252.00,79.30
1251.00,79.32
1250.00,79.31
1249.00,79.28
1248.00,79.27
1247.00,79.26
1246.00,79.24
1245.00,79.23
1244.00,79.24
1243.00,79.26
1242.00,79.28
1241.00,79.29
1240.00,79.31
1239.00,79.35
1238.00,79.37
1237.00,79.40
1236.00,79.43
1235.00,79.48
1234.00,79.51
1233.00,79.54
1232.00,79.59
1231.00,79.66
1230.00,79.72
1229.00,79.79
1228.00,79.88
1227.00,79.99
1226.00,80.08
1225.00,80.17
1224.00,80.27
1223.00,80.39
1222.00,80.51
1221.00,80.63
1220.00,80.77
1219.00,80.91
1218.00,81.03
1217.00,81.16
1216.00,81.30
1215.00,81.45
1214.00,81.59
1213.00,81.72
1212.00,81.88
1211.00,82.03
1210.00,82.16
1209.00,82.28
1208.00,82.41
1207.00,82.54
1206.00,82.65
1205.00,82.76
1204.00,82.89
1203.00,83.01
1202.00,83.11
1201.00,83.20
1200.00,83.29
1199.00,83.37
1198.00,83.43
1197.00,83.48
1196.00,83.52
1195.00,83.53
1194.00,83.51
1193.00,83.46
1192.00,83.40
1191.00,83.33
1190.00,83.21
1189.00,83.08
1188.00,82.94
1187.00,82.80
1186.00,82.64
1185.00,82.49
1184.00,82.36
1183.00,82.24
1182.00,82.14
1181.00,82.05
1180.00,82.00
1179.00,82.00
1178.00,82.03
1177.00,82.10
1176.00,82.22
1175.00,82.36
1174.00,82.51
1173.00,82.67
1172.00,82.85
1171.00,83.03
1170.00,83.19
1169.00,83.33
1168.00,83.48
1167.00,83.62
1166.00,83.75
1165.00,83.88
1164.00,84.01
1163.00,84.12
1162.00,84.21
1161.00,84.30
1160.00,84.40
1159.00,84.51
1158.00,84.61
1157.00,84.68
1156.00,84.76
1155.00,84.82
1154.00,84.85
1153.00,84.88
1152.00,84.92
1151.00,84.96
1150.00,84.99
1149.00,85.03
1148.00,85.07
1147.00,85.12
1146.00,85.16
1145.00,85.18
1144.00,85.22
1143.00,85.26
1142.00,85.28
1141.00,85.30
1140.00,85.33
1139.00,85.35
1138.00,85.36
1137.00,85.35
1136.00,85.35
1135.00,85.35
1134.00,85.33
1133.00,85.30
1132.00,85.28
1131.00,85.25
1130.00,85.20
1129.00,85.14
1128.00,85.08
1127.00,85.03
1126.00,84.95
1125.00,84.88
1124.00,84.82
1123.00,84.77
1122.00,84.71
1121.00,84.65
1120.00,84.60
1119.00,84.54
1118.00,84.47
1117.00,84.39
1116.00,84.33
1115.00,84.27
1114.00,84.21
1113.00,84.15
1112.00,84.11
1111.00,84.07
1110.00,84.02
1109.00,83.97
1108.00,83.92
1107.00,83.88
1106.00,83.83
1105.00,83.79
1104.00,83.77
1103.00,83.76
1102.00,83.75
1101.00,83.76
1100.00,83.79
1099.00,83.83
1098.00,83.86
1097.00,83.88
1096.00,83.91
1095.00,83.95
1094.00,83.99
1093.00,84.02
1092.00,84.06
1091.00,84.08
1090.00,84.08
1089.00,84.07
1088.00,84.06
1087.00,84.05
1086.00,84.03
1085.00,84.01
1084.00,84.02
1083.00,84.04
1082.00,84.07
1081.00,84.12
1080.00,84.20
1079.00,84.30
1078.00,84.39
1077.00,84.46
1076.00,84.53
1075.00,84.59
1074.00,84.63
1073.00,84.65
1072.00,84.69
1071.00,84.73
1070.00,84.75
1069.00,84.78
1068.00,84.81
1067.00,84.85
1066.00,84.88
1065.00,84.90
1064.00,84.92
1063.00,84.93
1062.00,84.92
1061.00,84.90
1060.00,84.88
1059.00,84.87
1058.00,84.83
1057.00,84.80
1056.00,84.77
1055.00,84.73
1054.00,84.67
1053.00,84.60
1052.00,84.54
1051.00,84.49
1050.00,84.42
1049.00,84.36
1048.00,84.31
1047.00,84.28
1046.00,84.24
1045.00,84.22
1044.00,84.21
1043.00,84.21
1042.00,84.22
1041.00,84.23
1040.00,84.25
1039.00,84.27
1038.00,84.28
1037.00,84.29
1036.00,84.32
1035.00,84.37
1034.00,84.42
1033.00,84.46
1032.00,84.52
1031.00,84.57
1030.00,84.62
1029.00,84.67
1028.00,84.74
1027.00,84.80
1026.00,84.86
1025.00,84.93
1024.00,85.01
1023.00,85.09
1022.00,85.14
1021.00,85.18
1020.00,85.21
1019.00,85.24
1018.00,85.25
1017.00,85.25
1016.00,85.27
1015.00,85.30
1014.00,85.35
1013.00,85.44
1012.00,85.59
1011.00,85.79
1010.00,86.01
1009.00,86.27
1008.00,86.53
1007.00,86.78
1006.00,87.00
1005.00,87.20
1004.00,87.39
1003.00,87.57
1002.00,87.72
1001.00,87.87
1000.00,88.01
999.00,88.16
998.00,88.29
997.00,88.43
996.00,88.56
995.00,88.68
994.00,88.78
993.00,88.86
992.00,88.96
991.00,89.05
990.00,89.14
989.00,89.22
988.00,89.31
987.00,89.41
986.00,89.49
985.00,89.56
984.00,89.63
983.00,89.70
982.00,89.74
981.00,89.79
980.00,89.85
979.00,89.91
978.00,89.97
977.00,90.03
976.00,90.09
975.00,90.14
974.00,90.18
973.00,90.22
972.00,90.27
971.00,90.33
970.00,90.37
969.00,90.40
968.00,90.44
967.00,90.46
966.00,90.47
965.00,90.47
964.00,90.49
963.00,90.51
962.00,90.53
961.00,90.56
960.00,90.60
959.00,90.63
958.00,90.66
957.00,90.68
956.00,90.70
955.00,90.73
954.00,90.75
953.00,90.78
952.00,90.81
951.00,90.86
950.00,90.89
949.00,90.92
948.00,90.96
947.00,90.99
946.00,91.01
945.00,91.03
944.00,91.08
943.00,91.13
942.00,91.16
941.00,91.18
940.00,91.21
939.00,91.23
938.00,91.24
937.00,91.26
936.00,91.29
935.00,91.32
934.00,91.35
933.00,91.38
932.00,91.43
931.00,91.47
930.00,91.51
929.00,91.55
928.00,91.60
927.00,91.67
926.00,91.71
925.00,91.74
924.00,91.77
923.00,91.81
922.00,91.83
921.00,91.85
920.00,91.87
919.00,91.90
918.00,91.91
917.00,91.92
916.00,91.94
915.00,91.97
914.00,91.99
913.00,92.01
912.00,92.04
911.00,92.09
910.00,92.14
909.00,92.19
908.00,92.25
