"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Montgomery, Sir Charles Percival",2016-10-04,"","London Euston","External Meeting","Rail","Standard","","",25.5,"","Redfern"
"Owen, Mr. Marc",2016-10-04,"","","Drove to Eaton House due to early start to observe an op","T&S - Employee Reimbursed Mileage","","","",9.52,"",""
"Pratt, Mr. Alan Palaic",2016-10-04,"","","breakfast taken on the road - one coffee and a pastry was above claim limit (5.98), so lesser amount claimed.","T&S - Subsistence","","","",4.25,"",""
"Pratt, Mr. Alan Palaic",2016-10-04,"","","visit to Roke Manor Research - public transport not viable","T&S - Employee Reimbursed Mileage","","","",36.8,"",""
"Pratt, Mr. Alan Palaic",2016-10-04,"","","return from Roke Manor Research - public transport not viable","T&S - Employee Reimbursed Mileage","","","",42,"",""
"Sedwill, Mr. Mark",2016-10-04,"","London St Pancras","External Meeting","Rail","Standard","","",73.5,"","Redfern"
"Sedwill, Mr. Mark",2016-10-04,"","Sheffield","External Meeting","Rail","Standard","","",202,"","Redfern"
"Sedwill, Mr. Mark",2016-10-04,"","ZONE U1* LONDN","External Meeting","Rail","Standard","","",4.9,"","Redfern"
"Spencer, Dr. Fiona Margaret",2016-10-04,"","","Taxi from Heathrow Underground Staton T2,3,4  to Radisson Blu, 140 Bath Road for Fast Stream Induction","Taxis","","","",9.6,"",""
"Thomson, Mr. Mark David",2016-10-04,"","","ABLE conference","Taxis","","","",5,"",""
"Wilkinson, Ms. Patsy",2016-10-04,"","London St Pancras","External Meeting","Rail","Standard","","",5.5,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-04,"","London St Pancras","External Meeting","Rail","Standard","","",39.2,"","Redfern"
"Williams, Ms. Wendy",2016-10-04,"","Stafford","External Meeting","Rail","Standard","","",109,"","Redfern"
"Duffy, Mr. Philip",2016-10-05,"","","Rail ticket to WICU","T&S - Planes, Trains and Automobiles","Standard/Economy","","",5.5,"",""
"Duffy, Mr. Philip",2016-10-05,"","","Travel to WICU","T&S - Hotels","","","",7.9,"",""
"Foy, Mr. Timothy John",2016-10-05,"","Birmingham New St","External Meeting","Rail","Standard","","",11.5,"","Redfern"
"Foy, Mr. Timothy John",2016-10-05,"","Winchester","External Meeting","Rail","Standard","","",76.4,"","Redfern"
"Hornby, Mr. Richard",2016-10-05,"","","visit","Taxis","","","",10,"",""
"Hornby, Mr. Richard",2016-10-05,"","","visit","T&S - Planes, Trains and Automobiles","Standard/Economy","","",2.8,"",""
"Hornby, Mr. Richard",2016-10-05,"","London Euston","External Meeting","Rail","Standard","","",9.8,"","Redfern"
"Hornby, Mr. Richard",2016-10-05,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",207.2,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-10-05,"","London Euston","External Meeting","Rail","Standard","","",22,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-05,"","","taxi from home to railway station. No suitable public transport.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-10-05,"","","Dinner: Overnight stay in London","T&S - Subsistence","","","",26,"",""
"Lloyd, Ms. Myrtle",2016-10-05,"","","Tube fare","T&S - Planes, Trains and Automobiles","","","",6.5,"",""
"Oppenheim, Mr. Jeremy",2016-10-05,"","","dinner with external stakeholders.","Canteens, Lunches, Vending","","","",63,"",""
"Oppenheim, Mr. Jeremy",2016-10-05,"","","trael from 2 Marsham Street to London Euston for onward travel to Liverpool to prepare for DBS Board meeting","Taxis","","","",17,"",""
"Oppenheim, Mr. Jeremy",2016-10-05,"","Liverpool","External Meeting","","","Hotel Standard- One- King Size","",70.6,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-10-05,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",197.2,"","Redfern"
"Riach, Ms. Shona",2016-10-05,"","","taxi to airport","Taxis","","","",68.18,"",""
"Webb, Mr. Stephen",2016-10-05,"","East Croydon","External Meeting","Rail","Standard","","",12.1,"","Redfern"
"Foy, Mr. Timothy John",2016-10-06,"","London Heathrow","External Meeting","","","Hotel Room","",64.6,"","Redfern"
"Lamberti, Mr. David James",2016-10-06,"","Bicester Town","External Meeting","Rail","Standard","","",12,"","Redfern"
"Lamberti, Mr. David James",2016-10-06,"","London Marylebone","External Meeting","Rail","Standard","","",15,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-06,"","","taxi fare from railway station to home. No suitable public transport.","Taxis","","","",7.5,"",""
"Oppenheim, Mr. Jeremy",2016-10-06,"","","taxi from offices of DBS to Liverpool Lime Street for train to London","Taxis","","","",5.5,"",""
"Oppenheim, Mr. Jeremy",2016-10-06,"","","taxi from Euston to 2MS on return from official visit to Liverpool","Taxis","","","",15.5,"",""
"Williams, Ms. Wendy",2016-10-06,"","Newcastle","External Meeting","Rail","Standard","","",76.9,"","Redfern"
"Williams, Ms. Wendy",2016-10-06,"","Runcorn","External Meeting","Rail","Standard","","",113,"","Redfern"
"Chittenden, Mrs. Deborah",2016-10-07,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",69,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-07,"","","Visit to BICS staff at Vulcan House, Sheffield","T&S - Planes, Trains and Automobiles","","","",12.5,"",""
"Oppenheim, Mr. Jeremy",2016-10-08,"","","personal mobile used for business calls. 70% of bill claimed","Miscellaneous","","","",23.46,"",""
"Parr, Mr. Matthew",2016-10-09,"","Durham","External Meeting","Rail","Standard","","",84.9,"","Redfern"
"Parr, Mr. Matthew",2016-10-09,"","Newcastle","External Meeting","","","Hotel Room","",87.8,"","Redfern"
"Arnott, Dr. Robert Henry",2016-10-10,"","","Train strike","T&S - Hotels","","","",500,"",""
"Duffy, Mr. Philip",2016-10-10,"","","Travel to London First","T&S - Hotels","","","",5.3,"",""
"Ind, Mr. Hugh Timothy",2016-10-10,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-10,"","","Parking @ Salford ION","T&S - Planes, Trains and Automobiles","","","",3,"",""
"Lloyd, Ms. Myrtle",2016-10-10,"","","Site visit to Salford ION","T&S - Employee Reimbursed Mileage","","","",15.6,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-10,"","","travel to heatrhow","T&S - Overseas Expenses","Standard/Economy","","",24,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-10,"","","travel from airport to hotel in toronto","T&S - Overseas Expenses","","","",42.42,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-10,"","","dinner in toronto","T&S - Subsistence","","","",12.42,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-10,"","","Breakfast not included in Hotel booking","T&S - Subsistence","","","",17.55,"",""
