"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Ind, Mr. Hugh Timothy",2016-10-21,"","","Transformation Steering Group Away Day - Roffey Park to Horsham Station","Taxis","","","",9,"",""
"Ind, Mr. Hugh Timothy",2016-10-21,"","","Return fare from Horsham - attendance at Transformation Sterring Group Awayday.","T&S - Planes, Trains and Automobiles","Standard/Economy","","",16,"",""
"Owen, Mr. Marc",2016-10-21,"","","Travel to Croydon for Leadership event","T&S - Planes, Trains and Automobiles","Standard/Economy","","",4.2,"",""
"Owen, Mr. Marc",2016-10-21,"","","travel back to 2MS from leadership event in Croydon","T&S - Planes, Trains and Automobiles","Standard/Economy","","",6.1,"",""
"Parsons, Mr. Michael John",2016-10-21,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",78.2,"","Redfern"
"Sutton, Mr. Kenneth David",2016-10-21,"","London Zones 1-6","External Meeting","Rail","Standard","","",18.2,"","Redfern"
"Sutton, Mr. Kenneth David",2016-10-21,"","Woking (Main)","External Meeting","Rail","Standard","","",26,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-21,"","","Taxi from 2 Marsham St to Pall Mall for FCO Board meeting","Taxis","","","",6.4,"",""
"Wilkinson, Ms. Patsy",2016-10-21,"","","Taxi from Pall Mall to 2 Marsham St","Taxis","","","",7,"",""
"Clarke, Mr. Richard William John",2016-10-23,"","","Taxi to airport from Home","Taxis","","","",45,"",""
"Clarke, Mr. Richard William John",2016-10-23,"","","Taxi from Airport to Hotel","T&S - Overseas Expenses","","","",53.2,"",""
"Clarke, Mr. Richard William John",2016-10-23,"","","Pay for Hotel in Washington DC","T&S - Overseas Expenses","","","",514.36,"",""
"Clarke, Mr. Richard William John",2016-10-23,"","W'Ington Dulles","External Meeting","Air Tickets","Economy","","",1454.05,"","Redfern"
"Clarke, Mr. Richard William John",2016-10-23,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Clarke, Mr. Richard William John",2016-10-24,"","","From Hotel to British Embassy","T&S - Overseas Expenses","","","",6.56,"",""
"Lloyd, Ms. Myrtle",2016-10-24,"","","Participated in 5 Nations Call obo DG  - cost of 45 minutes call to Canada 24","Miscellaneous","","","",24,"",""
"Sedwill, Mr. Mark",2016-10-24,"","","Early morning travel from airport following work visit overseas","T&S - Hotels","","","",28.7,"",""
"Sedwill, Mr. Mark",2016-10-24,"","W'Ington Dulles","External Meeting","Air Tickets","Club Class","","",4158.75,"","Redfern"
"Chittenden, Mrs. Deborah",2016-10-25,"","Peterborough","External Meeting","Rail","Standard","","",43.5,"","Redfern"
"Clarke, Mr. Richard William John",2016-10-25,"","","Taxi to Dulles Airport","T&S - Overseas Expenses","","","",56.76,"",""
"Clarke, Mr. Richard William John",2016-10-25,"","","From Hotel to British Embassy","T&S - Overseas Expenses","","","",7.16,"",""
"Cunningham, Mr. Michael Bernard",2016-10-25,"","London Euston","External Meeting","Rail","Standard","","",345,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-10-25,"","London Heathrow","External Meeting","","","Hotel Standard- One- King Size","",129.6,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-10-25,"","","Fares - visit to Indian High Commission in Aldwych - London.","T&S - Planes, Trains and Automobiles","","","",4.8,"",""
"O'brien, Mr. John",2016-10-25,"","","Underground to Paddington","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Oppenheim, Mr. Jeremy",2016-10-25,"","","working lunch with officers from Wiltshire Police to discuss a historic case of child sexual abuse.","Canteens, Lunches, Vending","","","",13.5,"",""
"Parr, Mr. Matthew",2016-10-25,"","Birmingham International","External Meeting","Rail","Standard","","",70,"","Redfern"
"Parr, Mr. Matthew",2016-10-25,"","London Euston","External Meeting","Rail","Standard","","",38,"","Redfern"
"Clarke, Mr. Richard William John",2016-10-26,"","","Heathrow Express - From Airport strait into Work","T&S - Planes, Trains and Automobiles","Standard/Economy","","",22,"",""
"Freston, Mrs. Penny",2016-10-26,"","","travel to Manchester airport from hotel","Taxis","","","",12.5,"",""
"Freston, Mrs. Penny",2016-10-26,"","","travel from Manchester NBTC to train station","Taxis","","","",15,"",""
"Lloyd, Ms. Myrtle",2016-10-26,"","","Taxi from home to railway station.  No parking available.  No suitable public transport.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-10-26,"","","taxi from railway station to home. No suitable public transport, and No space in Car park.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-10-26,"","","Left home at 5:45.  Breakfast on train.","T&S - Subsistence","","","",5.5,"",""
"Lloyd, Ms. Myrtle",2016-10-26,"","Liverpool Lime Street","INTERNAL MEETING","Rail","Standard","","",159,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-26,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",110,"","Redfern"
"O'brien, Mr. John",2016-10-26,"","","Underground from Paddington","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Oppenheim, Mr. Jeremy",2016-10-26,"","","taxi from Cabinet Office to 2MS","Taxis","","","",7,"",""
"Parsons, Mr. Michael John",2016-10-26,"","","Station to Capitol","Taxis","","","",5,"",""
"Parsons, Mr. Michael John",2016-10-26,"","","DBS to Station","Taxis","","","",5,"",""
"Parsons, Mr. Michael John",2016-10-26,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",119,"","Redfern"
"Sedwill, Mr. Mark",2016-10-26,"","London Paddington","External Meeting","Rail","Standard","","",22,"","Redfern"
"Williams, Ms. Wendy",2016-10-26,"","London Kings Cross","External Meeting","Rail","Standard","","",140,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-10-27,"","","Tube to Euston","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Dottridge, Mr. Adrian Yme",2016-10-27,"","Liverpool","External Meeting","","","Hotel Room","",70.6,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-10-27,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",312,"","Redfern"
"Duffy, Mr. Philip",2016-10-27,"","","Evening meal whilst in Manchester","T&S - Subsistence","","","",17.05,"",""
"Duffy, Mr. Philip",2016-10-27,"","","Travel to Manchester","T&S - Hotels","","","",2.4,"",""
"Duffy, Mr. Philip",2016-10-27,"","Manchester","External Meeting","","","Hotel Deluxe- Classic Room","",85.6,"","Redfern"
"Duffy, Mr. Philip",2016-10-27,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",332,"","Redfern"
"Eastaugh, Mr. Tony",2016-10-27,"","London Gatwick","External Meeting","","","Hotel Room","",78.6,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-10-27,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",153.2,"","Redfern"
"Williams, Ms. Wendy",2016-10-27,"","Birmingham New St","External Meeting","Rail","Standard","","",70,"","Redfern"
"Williams, Ms. Wendy",2016-10-27,"","Newcastle","External Meeting","Rail","Standard","","",174.7,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-10-28,"","","Tube from Euston","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Duffy, Mr. Philip",2016-10-28,"","","Overnight stay in Manchester","T&S - Hotels","","","",85,"",""
"Duffy, Mr. Philip",2016-10-28,"","Manchester Airport","External Meeting","Rail","Standard","","",7.9,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-10-28,"","","Taxi from Glasgow Airport to office","Taxis","","","",20,"",""
"Hepple, Mr. Tyson Julian",2016-10-28,"","Glasgow","External Meeting","Air Tickets","Economy","","",150.75,"","Redfern"
"Hills, Mr. Gareth David",2016-10-28,"","","Costs of vaccinations (at CityDoc Victoria)  for India vsit","Miscellaneous","","","",110,"",""
"Clarke, Mr. Richard William John",2016-10-30,"","Hiroshima","External Meeting","Air Tickets","Economy","","",1441.85,"","Redfern"
"Eastaugh, Mr. Tony",2016-10-31,"","Liverpool","External Meeting","","","Hotel Room","",43.05,"","Redfern"
"Eastaugh, Mr. Tony",2016-10-31,"","Manchester","External Meeting","","","Hotel Room","",51.55,"","Redfern"
"Eastaugh, Mr. Tony",2016-10-31,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",81.4,"","Redfern"
"Hills, Mr. Gareth David",2016-10-31,"","Delhi","External Meeting","Air Tickets","Upper Class","","",2828.45,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-10-31,"","","lunch for SMT Awayday","T&S - Hotels","","","",14.31,"",""
"Sutton, Mr. Kenneth David",2016-10-31,"","","Unable to use public transport","Taxis","","","",7,"",""
"Sutton, Mr. Kenneth David",2016-10-31,"","","Unable to use public transport","Taxis","","","",10,"",""
"Sutton, Mr. Kenneth David",2016-10-31,"","","Working lunch","Miscellaneous","","","",5.7,"",""
"Sutton, Mr. Kenneth David",2016-10-31,"","London Zones 1-4","External Meeting","Rail","Standard","","",13.1,"","Redfern"
"Sutton, Mr. Kenneth David",2016-10-31,"","Newport Gwent","External Meeting","Rail","Standard","","",210.5,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-31,"","","Reacall from Leave - Accommodation Costs","T&S - Hotels","","","",251.46,"",""
"Wilkinson, Ms. Patsy",2016-10-31,"","","Recall from Leave - flights for spouse","Miscellaneous","","","",113.07,"",""
"Wilkinson, Ms. Patsy",2016-10-31,"","","Recall from leave - flights","Miscellaneous","","","",157.52,"",""
"Williams, Ms. Wendy",2016-10-31,"","Birmingham New St","External Meeting","Rail","Standard","","",104.4,"","Redfern"
"Williams, Ms. Wendy",2016-10-31,"","London Euston","External Meeting","Rail","Standard","","",22,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-11-01,"","London Euston","External Meeting","Rail","Standard","","",345,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-11-01,"","London Heathrow","External Meeting","","","Hotel Standard- One- King Size","",258.6,"","Redfern"
"Eastaugh, Mr. Tony",2016-11-01,"","","Had to pay for fuel as car collection outside of hire office hours.","T&S - Planes, Trains and Automobiles","","","",75,"",""
"Eastaugh, Mr. Tony",2016-11-01,"","Newcastle","External Meeting","","","Hotel Business Class","",139.6,"","Redfern"
"France, Mr. David Paul",2016-11-01,"","London Zones 1-6","External Meeting","Rail","Standard","","",17.2,"","Redfern"
"Hills, Mr. Gareth David",2016-11-01,"","","2x24hr Delhi rate of 6100.5 less two hotel/office travel costs of 528.5","T&S - Overseas Expenses","","","",136.64,"",""
"Hills, Mr. Gareth David",2016-11-01,"","","Hotel costs at Taj Mahal 1 - 3 November, New Delhi. Hotel booked by British High Commission at their Preferential Rates.","T&S - Overseas Expenses","","","",282.59,"",""
"Lamberti, Mr. David James",2016-11-01,"","","Coventry St to College of Policing","Taxis","","","",20.3,"",""
"Lamberti, Mr. David James",2016-11-01,"","","College of Policing to Coventry St","Taxis","","","",17,"",""
"Lamberti, Mr. David James",2016-11-01,"","Coventry","External Meeting","Rail","Standard","","",116,"","Redfern"
"Lincoln, Mr. Paul Michael",2016-11-01,"","Leicester","External Meeting","Rail","Standard","","",149.5,"","Redfern"
"Montgomery, Sir Charles Percival",2016-11-01,"","","Travel to Gatwick Airport meeting","T&S - Planes, Trains and Automobiles","Standard/Economy","","",3,"",""
"Montgomery, Sir Charles Percival",2016-11-01,"","","Refreshment during travel to Gatwick meeting and back to office","T&S - Subsistence","","","",2.55,"",""
"Montgomery, Sir Charles Percival",2016-11-01,"","Gatwick Airport","External Meeting","Rail","Standard","","",17.6,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-11-01,"","Birmingham New St","External Meeting","Rail","Standard","","",274.5,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-11-01,"","Birmingham New St","","Rail","Standard","","",-160,"","Redfern"
"Sedwill, Mr. Mark",2016-11-01,"","Birmingham New St","External Meeting","Rail","Standard","","",185.5,"","Redfern"
"Sedwill, Mr. Mark",2016-11-01,"","London Euston","External Meeting","Rail","Standard","","",15.5,"","Redfern"
"Sedwill, Mr. Mark",2016-11-01,"","London Zones 1-6","External Meeting","Rail","Standard","","",17.2,"","Redfern"
"Sutton, Mr. Kenneth David",2016-11-01,"","","Working lunch","Miscellaneous","","","",7.95,"",""
"Sutton, Mr. Kenneth David",2016-11-01,"","","Unable to use public transport","Taxis","","","",8,"",""
"Wilkinson, Ms. Patsy",2016-11-01,"","West Croydon","External Meeting","Rail","Standard","","",11.1,"","Redfern"
"Chittenden, Mrs. Deborah",2016-11-02,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",149,"","Redfern"
"Eastaugh, Mr. Tony",2016-11-02,"","East Midlands","External Meeting","","","Hotel Room","",80.7,"","Redfern"
"France, Mr. David Paul",2016-11-02,"","London Zones 1-4","External Meeting","Rail","Standard","","",12.1,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-02,"","","Taxi from home to railway station. No suitable public transport, and no space in car par,","Taxis","","","",7.5,"",""
"Lloyd, Ms. Myrtle",2016-11-02,"","","Overnight stay.  Dinner bill.","T&S - Subsistence","","","",19.47,"",""
"Lloyd, Ms. Myrtle",2016-11-02,"","","Tube ticket. Commuting between office and hotel while in London.","T&S - Planes, Trains and Automobiles","Standard/Economy","","",4.8,"",""
"Lloyd, Ms. Myrtle",2016-11-02,"","ZONE U1* LONDN","External Meeting","Rail","Standard","","",231,"","Redfern"
"Sedwill, Mr. Mark",2016-11-02,"","","Night return from Australian High Commission meeting","Conferences (& Hospitality)","","","",11.14,"",""
"Thomson, Mr. Mark David",2016-11-02,"","","Taxi from station to Liverpool office","Taxis","","","",4.4,"",""
"Thomson, Mr. Mark David",2016-11-02,"","","Taxi from Liverpool office to station","Taxis","","","",3,"",""
"Williams, Ms. Wendy",2016-11-02,"","Newcastle","External Meeting","Rail","Standard","","",41,"","Redfern"
"Arnott, Dr. Robert Henry",2016-11-03,"","","Evesham Stn to Lygham Arms Hotel (Supers Assocn)","Taxis","","","",17,"",""
"Arnott, Dr. Robert Henry",2016-11-03,"","Evesham","External Meeting","Rail","Standard","","",75.4,"","Redfern"
"France, Mr. David Paul",2016-11-03,"","London Zones 1-4","External Meeting","Rail","Standard","","",12.1,"","Redfern"
"Hills, Mr. Gareth David",2016-11-03,"","","Incorrect ticket bought for the Express","T&S - Planes, Trains and Automobiles","","","",22,"",""
"Hills, Mr. Gareth David",2016-11-03,"","London Heathrow","External Meeting","Air Tickets","Premium","","",686.2,"","Redfern"
"Hills, Mr. Gareth David",2016-11-03,"","London Paddington","External Meeting","Rail","Standard","","",10.2,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-03,"","","Taxi from railway station to home.  No suitable public transport, no space in car par,","Taxis","","","",8,"",""
"Lloyd, Ms. Myrtle",2016-11-03,"","","Tube fare between office and hotel while in London.","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Sedwill, Mr. Mark",2016-11-03,"","","Travel to station for Windsor Leadership Conference","Conferences (& Hospitality)","","","",5.19,"",""
"Sedwill, Mr. Mark",2016-11-03,"","Windsor & Eton Riverside","External Meeting","Rail","Standard","","",10.1,"","Redfern"
"Webb, Mr. Stephen",2016-11-03,"","Birmingham New St","External Meeting","Rail","Standard","","",170,"","Redfern"
"Wren, Mr. Simon William",2016-11-03,"","Grantham","External Meeting","Rail","Standard","","",48.2,"","Redfern"
"Arnott, Dr. Robert Henry",2016-11-04,"","","Paddington Stn to 2MS (from Supers' Assocn to BF Bd)","Taxis","","","",18,"",""
"Arnott, Dr. Robert Henry",2016-11-04,"","","Lygon Arms Hotel to Evesham Stn (Supers Assocn)","Taxis","","","",15,"",""
"France, Mr. David Paul",2016-11-04,"","","Taxi back to Bristol Temple Meads station after meeting with Chief Constable Andy Marsh of Avon and Somerset Constabulary.","Taxis","","","",25.2,"",""
"France, Mr. David Paul",2016-11-04,"","Bristol Temple Meads","External Meeting","Rail","Standard","","",71.2,"","Redfern"
"France, Mr. David Paul",2016-11-04,"","Guildford Station","External Meeting","Rail","Standard","","",9.1,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-11-04,"","Middlesbrough","External Meeting","Rail","Standard","","",203.9,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-11-04,"","","emergency travel from home to office. (Came into work whilst away from teh office on sick leave)","Taxis","","","",28.38,"",""
"Shipley, Mr. Gordon Michael",2016-11-04,"","","Visiting FirstNet","T&S - Overseas Expenses","","","",42.95,"",""
"Wilkinson, Miss Sarah Fay",2016-11-04,"","","Visit to Avon & Somerset Constabulary","T&S - Planes, Trains and Automobiles","","","",44,"",""
"Wilkinson, Miss Sarah Fay",2016-11-04,"","Bristol Temple Meads","External Meeting","Rail","Standard","","",201.16,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-11-06,"","Dubai","External Meeting","Air Tickets","Economy","","",369.41,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-11-06,"","Gatwick Airport","External Meeting","Rail","Standard","","",38.8,"","Redfern"
"Greaves, Mr. Daniel Paul",2016-11-07,"","","Return from home to Ashridge for SLS leaders course","T&S - Employee Reimbursed Mileage","","","",32,"",""
"Lincoln, Mr. Paul Michael",2016-11-07,"","","Travel from Nothampton Rail Station to Police HQ","Taxis","","","",9,"",""
"Lincoln, Mr. Paul Michael",2016-11-07,"","","Travel from Police HQ to Northampton Rail Station","Taxis","","","",7.2,"",""
"Lincoln, Mr. Paul Michael",2016-11-07,"","Northampton","External Meeting","Rail","Standard","","",17.6,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-07,"","","Parking at railway station.  No suitable public transport, cheaper than taxi.","T&S - Planes, Trains and Automobiles","","","",6.7,"",""
"Lloyd, Ms. Myrtle",2016-11-07,"","ZONE U1* LONDN","External Meeting","Rail","Standard","","",256,"","Redfern"
"Montgomery, Sir Charles Percival",2016-11-07,"","","Dinner for overnight stay in Dover during visit to Folkstone/Calais Border Force operation centres","T&S - Hotels","","","",25,"",""
"Montgomery, Sir Charles Percival",2016-11-07,"","Dover Stns","External Meeting","Rail","Standard","","",30.2,"","Redfern"
"Montgomery, Sir Charles Percival",2016-11-07,"","HEATHROW TERM123","External Meeting","Rail","Standard","","",49,"","Redfern"
"Montgomery, Sir Charles Percival",2016-11-07,"","Manston","External Meeting","","","Hotel Room","",161.2,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-11-07,"","","early morning coffee with Kelly Ryan and Richard Clarke.","Canteens, Lunches, Vending","","","",5.5,"",""
"Oppenheim, Mr. Jeremy",2016-11-07,"","","lunch with Kelly Ryan, Co-ordinator for Intergovernmental Consultations","Canteens, Lunches, Vending","","","",62.1,"",""
"Williams, Ms. Wendy",2016-11-07,"","Bristol","External Meeting","Web Transaction","Economy","","",18,"","Redfern"
"Williams, Ms. Wendy",2016-11-07,"","Bristol","External Meeting","Web Transaction","Economy","","",35.14,"","Redfern"
"Chittenden, Mrs. Deborah",2016-11-08,"","Newport Gwent","External Meeting","Rail","Standard","","",112,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-11-08,"","","Evening meal whilst overseas- Dubai","T&S - Subsistence","","","",21.92,"",""
"Dottridge, Mr. Adrian Yme",2016-11-08,"","","Overseas Hotel accommodation in Dubai","T&S - Hotels","","","",420.53,"",""
"Dottridge, Mr. Adrian Yme",2016-11-08,"","","Overseas hotel costs for colleague (Corporate card not held)","T&S - Hotels","","","",415.71,"",""
"Duffy, Mr. Philip",2016-11-08,"","","refreshments","T&S - Subsistence","","","",3.26,"",""
"Duffy, Mr. Philip",2016-11-08,"","","From Airport","Miscellaneous","","","",43.6,"",""
"Duffy, Mr. Philip",2016-11-08,"","","refreshments","T&S - Subsistence","","","",3.72,"",""
"Duffy, Mr. Philip",2016-11-08,"","","taxi in athens","Miscellaneous","","","",88.95,"",""
"Duffy, Mr. Philip",2016-11-08,"","","View Point Heathrow","T&S - Hotels","","","",2.9,"",""
"Duffy, Mr. Philip",2016-11-08,"","Athens","External Meeting","Air Tickets","Economy","","",361.51,"","Redfern"
"Duffy, Mr. Philip",2016-11-08,"","Athens","External Meeting","","","Hotel (Foreign) Room","",102.6,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-11-08,"","","Hosted Dinner for Chinese Delegation - Senior Chinese Diplomats","Miscellaneous","","","",339.45,"",""
"Ind, Mr. Hugh Timothy",2016-11-08,"","London","External Meeting","","","Hotel Room","",110.35,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-11-08,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Montgomery, Sir Charles Percival",2016-11-08,"","","Tube from Kings X to Waterloo","T&S - Planes, Trains and Automobiles","Standard/Economy","","",2.4,"",""
"Montgomery, Sir Charles Percival",2016-11-08,"","London St Pancras","External Meeting","Rail","Standard","","",44.2,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-11-08,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",313,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-11-08,"","","personal mobile used for business calls. 70% of bill claimed","Miscellaneous","","","",19.94,"",""
"Sedwill, Mr. Mark",2016-11-08,"","","Work travel for official visit.","T&S - Employee Reimbursed Mileage","","","",24.28,"",""
"Williams, Ms. Wendy",2016-11-08,"","Stafford","External Meeting","Rail","Standard","","",95.5,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-11-09,"","","Food whilst in at Dubai airport","T&S - Subsistence","","","",21.11,"",""
"Dottridge, Mr. Adrian Yme",2016-11-09,"","Paddock Wood","External Meeting","Rail","Standard","","",22.9,"","Redfern"
"Duffy, Mr. Philip",2016-11-09,"","","refreshments","T&S - Subsistence","","","",3.6,"",""
"France, Mr. David Paul",2016-11-09,"","","Taxi from Liverpool Lime Street station to hotel, for meeting with DBS colleagues the next day","Taxis","","","",7,"",""
"France, Mr. David Paul",2016-11-09,"","Liverpool","External Meeting","","","Hotel Standard- One- King Size","",70.6,"","Redfern"
"France, Mr. David Paul",2016-11-09,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",142,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-11-09,"","","Returns Preparation Event - Sheffield - taxi from station to event","Taxis","","","",5,"",""
"Ind, Mr. Hugh Timothy",2016-11-09,"","","Returns Preparation Event - Sheffield - taxi from event to Vulcan House","Taxis","","","",5,"",""
"Ind, Mr. Hugh Timothy",2016-11-09,"","Sheffield","External Meeting","Rail","Standard","","",179,"","Redfern"
"Leach, Mrs. Paula Michelle",2016-11-09,"","","Manchester - CIPD event","Taxis","","","",5,"",""
"Leach, Mrs. Paula Michelle",2016-11-09,"","Manchester Oxford Road","External Meeting","Rail","Standard","","",125,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-09,"","","Taxi from home to railway station. No suitable public transport, No Parking spaces.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-11-09,"","","Overnight in London.  Dinner bill.","T&S - Subsistence","","","",25.1,"",""
"Lloyd, Ms. Myrtle",2016-11-09,"","","Tube fare","T&S - Planes, Trains and Automobiles","","","",4.8,"",""
"Lloyd, Ms. Myrtle",2016-11-09,"","ZONE U1* LONDN","External Meeting","Rail","Standard","","",138.5,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-09,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",231,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-11-09,"","Birmingham","External Meeting","","","Hotel Room","",86.55,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-11-09,"","Worcester Shrub Hill","External Meeting","Rail","Standard","","",78.4,"","Redfern"
"Wells, Mr. Michael Charles",2016-11-09,"","Sheffield","External Meeting","Rail","Standard","","",70.5,"","Redfern"
"Chittenden, Mrs. Deborah",2016-11-10,"","London Paddington","INTERNAL MEETING","Rail","Standard","","",39.7,"","Redfern"
"Duffy, Mr. Philip",2016-11-10,"","","The Cheif Operating Officer's Regional Directors Meal","Canteens, Lunches, Vending","","","",189,"",""
"Duffy, Mr. Philip",2016-11-10,"","","Senior Directors meal - Kings Cross","T&S - Hotels","","","",2.4,"",""
"France, Mr. David Paul",2016-11-10,"","London Euston","External Meeting","Rail","Standard","","",81.4,"","Redfern"
"Leach, Mrs. Paula Michelle",2016-11-10,"","","Manchester - CIPD event","Taxis","","","",6,"",""
"Leach, Mrs. Paula Michelle",2016-11-10,"","London Euston","External Meeting","Rail","Standard","","",81.4,"","Redfern"
"Lincoln, Mr. Paul Michael",2016-11-10,"","","From Woking Station to Gorse Hill Hotel for SafeLives Visit","Taxis","","","",9,"",""
"Lincoln, Mr. Paul Michael",2016-11-10,"","","Travel from Grose Hill Hotel to Woking Station","Taxis","","","",10,"",""
"Lincoln, Mr. Paul Michael",2016-11-10,"","Woking (Main)","External Meeting","Rail","Standard","","",14.1,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-10,"","","Taxi from railway station to home.  No suitable public transport, No car park spaces.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-11-10,"","","Tube fare","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Lloyd, Ms. Myrtle",2016-11-10,"","Chester","External Meeting","Rail","Standard","","",146,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-10,"","Chester","INTERNAL MEETING","Rail","Standard","","",140,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-11-10,"","","taxi from 2MS to Cabinet Office with colleague Offer Stern-Weiner","Taxis","","","",6.51,"",""
"Oppenheim, Mr. Jeremy",2016-11-10,"","","Emergency travel from home to office (came in whilst out of the office on sick leave).","Taxis","","","",38.5,"",""
"Oppenheim, Mr. Jeremy",2016-11-10,"","","return emergecny travel from office to home (casme to work whilst out of the office on sick leave).","Taxis","","","",32.55,"",""
"Parsons, Mr. Michael John",2016-11-10,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",153.2,"","Redfern"
"Tribe, Mr. Lee Kelvin",2016-11-10,"","","From hotel to venue (West Mercia HQ)","Taxis","","","",12.5,"",""
"Williams, Mr. Glyn",2016-11-10,"","","contactless charge - 2 x single tube journeys Zone 1 - cheaper than Redfern booking system.","T&S - Overseas Expenses","","","",4.8,"",""
"Williams, Ms. Wendy",2016-11-10,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",113,"","Redfern"
"Williams, Ms. Wendy",2016-11-10,"","Newcastle","External Meeting","Rail","Standard","","",22,"","Redfern"
"Spencer, Dr. Fiona Margaret",2016-11-11,"","Oxford","External Meeting","Rail","Standard","","",61.2,"","Redfern"
"Sutton, Mr. Kenneth David",2016-11-14,"","","Working lunch","Miscellaneous","","","",41.46,"",""
"Tribe, Mr. Lee Kelvin",2016-11-14,"","","Shared Cab with Oliver Moorey","Taxis","","","",8.5,"",""
"Tribe, Mr. Lee Kelvin",2016-11-14,"","","Shared Cab with Oliver Moorey","Taxis","","","",10,"",""
"Tribe, Mr. Lee Kelvin",2016-11-14,"","OXFORD PARKWAY","External Meeting","Rail","Standard","","",42.5,"","Redfern"
"Williams, Ms. Wendy",2016-11-14,"","Bristol","External Meeting","Web Transaction","Economy","","",49.79,"","Redfern"
"Duffy, Mr. Philip",2016-11-15,"","","An early departure for Berlin no public transport available","T&S - Hotels","","","",22,"",""
"Duffy, Mr. Philip",2016-11-15,"","","Train tikes for flight from Paddington to Heathrow for Athens","T&S - Hotels","","","",5.5,"",""
"Duffy, Mr. Philip",2016-11-15,"","","Cross London travel for vist to Berlin","T&S - Hotels","","","",5,"",""
"Duffy, Mr. Philip",2016-11-15,"","Berlin Tegel","External Meeting","Air Tickets","Economy","","",476.31,"","Redfern"
"France, Mr. David Paul",2016-11-15,"","Folkestone West","External Meeting","Rail","Standard","","",43,"","Redfern"
"France, Mr. David Paul",2016-11-15,"","London Zones 1-4","External Meeting","Rail","Standard","","",12.1,"","Redfern"
