ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,31-Mar-11,CZ999-South East Region,222143-Utility - Gas,CORONA ENERGY,1548315,"£87,815.10"
HMCS,31-Mar-11,CZ999-South East Region,222143-Utility - Gas,CORONA ENERGY,1548315,"£180,391.48"
HMCS,04-Mar-11,FZ999-Midlands Region,222151-Security,MITIE SECURITY LTD,1514935,"£30,082.00"
HMCS,11-Mar-11,DZ999-South West Region,222151-Security,MITIE SECURITY LTD,1523562,"£307,334.88"
HMCS,16-Mar-11,CZ999-South East Region,222151-Security,MITIE SECURITY LTD,1529230,"£576,205.82"
HMCS,16-Mar-11,EZ999-Wales Region,222151-Security,MITIE SECURITY LTD,1529230,"£189,050.90"
HMCS,16-Mar-11,FZ999-Midlands Region,222151-Security,MITIE SECURITY LTD,1529230,"£436,527.14"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,222151-Security,MITIE SECURITY LTD,1529230,"£423,005.66"
HMCS,16-Mar-11,GZ999-North West Region,222151-Security,MITIE SECURITY LTD,1529230,"£433,429.12"
HMCS,18-Mar-11,BZ999-London Region,222151-Security,MITIE SECURITY LTD,1531852,"£35,710.84"
HMCS,23-Mar-11,BZ999-London Region,222151-Security,MITIE SECURITY LTD,1537794,"£766,709.10"
HMCS,25-Mar-11,GZ999-North West Region,222151-Security,MITIE SECURITY LTD,1540333,"£31,216.15"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,222151-Security,MITIE SECURITY LTD,1547561,"£26,212.84"
HMCS,31-Mar-11,BZ999-London Region,222151-Security,HM PRISON SERVICE,1548435,"£40,366.07"
HMCS,02-Mar-11,BZ999-London Region,222152-Cleaning (excl Waste Collctn),MACLELLAN INTERNATIONAL LTD,1512039,"£328,211.32"
HMCS,02-Mar-11,IZ999-RCJ Group,222152-Cleaning (excl Waste Collctn),VICTORIA GENERAL CLEANING SERVICES LTD,1512952,"£68,203.60"
