Cp,H,S,T
0.428425,0.382129,0.0900981,5
2.96393,7.78807,1.02198,10
22.5051,118.95,7.95817,20
55.4966,501.821,23.0311,30
93.1238,1243.79,44.1167,40
130.914,2364.43,68.9662,50
221.336,6783.42,139.398,75
304.085,13363.1,214.543,100
385.102,21974.5,291.071,125
468.439,32639.5,368.618,150
552.052,45399.2,447.129,175
632.095,60212,526.129,200
705.73,76950.1,604.902,225
771.631,95433.7,682.739,250
829.608,115465,759.064,275
876.619,135227,828.033,298.15
880.116,136852,833.467,300
923.909,159415,905.685,325
