F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F6,F60,F61,F62,F63,F64,F7,F8,F9
1,2,0,0,0,1,1,0,1,0,0,0,2,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,3,1,1,0,2,3,0,63,2,40,2,3,2,1,0
1,0,0,0,3,0,0,1,1,0,1,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,33,1,22,1,1,1,1,2
1,2,0,0,1,0,0,0,0,1,0,4,6,0,0,0,6,0,1,0,0,0,3,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,2,1,1,27,2,30,4,1,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,6,1,2,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,2,0,0,30,0,20,3,3,0,0,0
1,0,0,0,1,0,0,0,2,0,0,3,3,4,0,1,1,0,2,4,0,1,2,0,1,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,2,0,3,2,0,36,1,19,3,2,0,0,1
1,0,1,0,2,0,0,0,1,0,0,0,5,2,1,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1,1,0,2,2,0,50,3,17,2,5,0,0,0
0,0,0,0,2,0,0,0,1,2,1,1,13,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,1,0,38,1,25,3,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,7,0,4,1,1,0,0,0
1,0,0,0,2,0,0,0,0,0,0,5,6,1,2,1,0,1,4,3,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,3,0,1,2,0,33,2,25,2,1,0,0,0
0,1,0,0,2,0,0,0,0,2,1,2,7,1,0,1,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,1,0,1,0,6,2,0,36,4,26,3,3,3,1,0
1,0,0,0,3,0,0,0,0,0,0,2,7,2,1,5,4,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,41,3,23,0,4,0,1,1
2,0,0,0,0,0,0,0,0,0,0,4,3,4,1,2,4,2,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,2,0,0,0,2,0,1,35,4,30,2,0,2,0,0
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,1,17,0,1,0,0,0
0,0,0,0,3,0,0,0,3,5,0,0,4,1,0,0,0,0,1,3,1,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,34,4,21,0,3,0,1,2
1,0,0,0,0,1,0,0,0,0,1,1,6,2,0,1,1,0,3,0,1,0,5,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,4,1,43,2,33,3,1,2,0,0
5,0,0,0,1,0,1,1,0,0,0,3,6,1,0,0,1,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,1,0,33,5,31,3,9,0,0,0
0,1,1,0,2,0,1,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,28,1,23,0,1,0,0,0
0,0,0,0,2,0,1,1,0,0,0,0,9,1,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,1,15,1,4,0,1,0
0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,27,0,11,3,2,0,0,1
1,0,1,0,0,0,0,0,1,1,0,0,6,3,0,2,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,1,0,1,2,0,43,1,24,1,2,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,3,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,37,0,25,2,0,1,0,0
1,1,1,0,2,0,0,0,0,2,0,0,2,2,0,1,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,44,3,30,4,3,2,1,1
1,1,0,0,1,0,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,42,3,27,3,0,0,2,1
0,0,0,0,2,0,0,0,0,2,0,0,5,7,0,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2,0,0,2,2,0,34,3,32,2,2,0,0,0
0,0,0,0,0,0,0,0,1,1,0,2,10,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,23,1,11,1,3,0,0,1
0,0,0,0,0,1,0,0,0,1,0,2,4,0,1,2,1,0,0,3,0,1,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,1,1,26,3,23,1,1,1,1,2
0,0,0,0,2,1,0,0,1,1,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,27,4,21,0,5,1,1,0
0,0,0,0,2,0,0,0,0,2,0,4,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,34,1,28,3,1,1,0,0
0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,20,0,12,3,0,0,0,0
0,0,1,0,0,0,1,0,1,1,0,1,3,1,0,1,3,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,1,37,0,33,2,1,1,0,1
1,0,0,1,2,0,0,0,1,0,0,0,5,3,1,1,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,34,0,22,4,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,3,1,0,5,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,2,0,37,0,16,1,1,1,0,1
1,1,1,0,1,0,0,0,0,0,1,1,12,1,4,1,0,1,1,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,43,2,18,2,2,0,1,0
2,0,0,0,0,0,1,1,0,0,0,1,5,0,0,1,0,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,2,1,1,0,0,0,0,26,1,23,0,2,2,0,0
1,0,0,0,1,0,0,0,0,0,0,7,8,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,0,0,2,2,0,0,0,2,2,1,28,2,23,3,1,2,0,0
0,0,0,1,2,0,1,0,2,0,1,0,1,3,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0,44,2,25,3,0,0,1,1
1,0,0,0,3,0,1,0,3,0,3,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,1,2,0,46,1,25,2,1,0,0,0
1,2,0,0,1,2,0,0,2,0,0,1,3,2,0,1,0,1,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,5,0,0,2,2,0,0,0,0,1,0,61,2,28,1,2,2,0,2
1,0,1,0,0,0,2,0,1,0,2,0,1,2,0,2,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2,0,0,40,1,25,2,1,0,0,2
3,0,0,0,2,0,1,0,1,0,0,2,7,0,1,0,2,0,6,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,33,3,21,1,1,3,0,0
2,0,0,0,1,1,0,0,0,0,0,0,10,1,1,0,0,1,3,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,28,0,13,2,1,0,0,0
2,0,0,0,1,0,0,0,1,0,0,5,5,0,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,32,2,26,0,1,1,0,0
2,0,0,0,2,1,0,0,0,0,0,3,1,4,0,0,0,0,0,2,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,22,0,29,0,4,2,0,1
0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,28,0,14,1,0,2,0,0
0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,2,2,0,3,7,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,2,1,53,0,26,1,0,2,1,2
0,0,1,0,2,0,0,0,0,1,0,0,1,2,1,3,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,33,0,17,0,1,0,0,0
