Chamber,Danger,Homecage,Leverpress,Safety,Session,Shock,Timestep,Trial
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,2,0
1,0,0,0,0,1,0,3,0
1,0,0,0,0,1,0,4,0
1,0,0,0,0,1,0,5,0
1,1,0,0,0,1,0,6,1
1,1,0,0,0,1,0,7,1
1,1,0,0,0,1,0,8,1
1,1,0,0,0,1,0,9,1
1,1,0,0,0,1,0,10,1
1,1,0,0,0,1,0,11,1
1,1,0,1,0,1,1,12,1
1,0,0,0,1,1,0,13,1
1,0,0,0,1,1,0,14,1
1,0,0,0,1,1,0,15,1
1,0,0,0,1,1,0,16,1
1,0,0,0,1,1,0,17,1
1,0,0,0,1,1,0,18,1
1,0,0,0,1,1,0,19,1
1,0,0,0,1,1,0,20,1
1,0,0,0,1,1,0,21,1
1,0,0,0,1,1,0,22,1
1,0,0,0,1,1,0,23,1
1,0,0,0,1,1,0,24,1
1,0,0,0,1,1,0,25,1
1,0,0,0,1,1,0,26,1
1,0,0,0,1,1,0,27,1
1,1,0,0,0,1,0,28,2
1,1,0,0,0,1,0,29,2
1,1,0,0,0,1,0,30,2
1,1,0,0,0,1,0,31,2
1,1,0,0,0,1,0,32,2
1,1,0,0,0,1,0,33,2
1,1,0,0,0,1,1,34,2
1,1,0,0,0,1,1,35,2
1,1,0,0,0,1,1,36,2
1,1,0,0,0,1,1,37,2
1,1,0,0,0,1,1,38,2
1,1,0,0,0,1,1,39,2
1,0,0,0,1,1,0,40,2
1,0,0,0,1,1,0,41,2
1,0,0,0,1,1,0,42,2
1,0,0,0,1,1,0,43,2
1,0,0,0,1,1,0,44,2
1,0,0,0,1,1,0,45,2
1,0,0,0,1,1,0,46,2
1,0,0,0,1,1,0,47,2
1,0,0,0,1,1,0,48,2
1,0,0,0,1,1,0,49,2
1,0,0,0,1,1,0,50,2
1,0,0,0,1,1,0,51,2
1,0,0,0,1,1,0,52,2
1,0,0,0,1,1,0,53,2
1,0,0,0,1,1,0,54,2
1,1,0,0,0,1,0,55,3
1,1,0,0,0,1,0,56,3
1,1,0,0,0,1,0,57,3
1,1,0,0,0,1,0,58,3
1,1,0,0,0,1,0,59,3
1,1,0,0,0,1,0,60,3
1,1,0,0,0,1,1,61,3
1,1,0,0,0,1,1,62,3
1,1,0,0,0,1,1,63,3
1,1,0,0,0,1,1,64,3
1,1,0,0,0,1,1,65,3
1,1,0,0,0,1,1,66,3
1,0,0,0,1,1,0,67,3
1,0,0,0,1,1,0,68,3
1,0,0,0,1,1,0,69,3
1,0,0,0,1,1,0,70,3
1,0,0,0,1,1,0,71,3
1,0,0,0,1,1,0,72,3
1,0,0,0,1,1,0,73,3
1,0,0,0,1,1,0,74,3
1,0,0,0,1,1,0,75,3
1,0,0,0,1,1,0,76,3
1,0,0,0,1,1,0,77,3
1,0,0,0,1,1,0,78,3
1,0,0,0,1,1,0,79,3
1,0,0,0,1,1,0,80,3
1,0,0,0,1,1,0,81,3
1,1,0,0,0,1,0,82,4
1,1,0,0,0,1,0,83,4
1,1,0,0,0,1,0,84,4
1,1,0,0,0,1,0,85,4
1,1,0,0,0,1,0,86,4
1,1,0,0,0,1,0,87,4
1,1,0,0,0,1,1,88,4
1,1,0,0,0,1,1,89,4
1,1,0,0,0,1,1,90,4
1,1,0,0,0,1,1,91,4
1,1,0,0,0,1,1,92,4
1,1,0,0,0,1,1,93,4
1,0,0,0,1,1,0,94,4
1,0,0,0,1,1,0,95,4
1,0,0,0,1,1,0,96,4
1,0,0,0,1,1,0,97,4
1,0,0,0,1,1,0,98,4
1,0,0,0,1,1,0,99,4
1,0,0,0,1,1,0,100,4
1,0,0,0,1,1,0,101,4
1,0,0,0,1,1,0,102,4
1,0,0,0,1,1,0,103,4
1,0,0,0,1,1,0,104,4
1,0,0,0,1,1,0,105,4
1,0,0,0,1,1,0,106,4
1,0,0,0,1,1,0,107,4
1,0,0,0,1,1,0,108,4
1,1,0,0,0,1,0,109,5
1,1,0,0,0,1,0,110,5
1,1,0,0,0,1,0,111,5
1,1,0,0,0,1,0,112,5
1,1,0,0,0,1,0,113,5
1,1,0,0,0,1,0,114,5
1,1,0,0,0,1,1,115,5
1,1,0,0,0,1,1,116,5
1,1,0,0,0,1,1,117,5
1,1,0,0,0,1,1,118,5
1,1,0,0,0,1,1,119,5
1,1,0,0,0,1,1,120,5
1,0,0,0,1,1,0,121,5
1,0,0,0,1,1,0,122,5
1,0,0,0,1,1,0,123,5
1,0,0,0,1,1,0,124,5
1,0,0,0,1,1,0,125,5
1,0,0,0,1,1,0,126,5
1,0,0,0,1,1,0,127,5
1,0,0,0,1,1,0,128,5
1,0,0,0,1,1,0,129,5
1,0,0,0,1,1,0,130,5
1,0,0,0,1,1,0,131,5
1,0,0,0,1,1,0,132,5
1,0,0,0,1,1,0,133,5
1,0,0,0,1,1,0,134,5
1,0,0,0,1,1,0,135,5
1,1,0,0,0,1,0,136,6
1,1,0,0,0,1,0,137,6
1,1,0,0,0,1,0,138,6
1,1,0,0,0,1,0,139,6
1,1,0,0,0,1,0,140,6
1,1,0,0,0,1,0,141,6
1,1,0,0,0,1,1,142,6
1,1,0,0,0,1,1,143,6
1,1,0,0,0,1,1,144,6
1,1,0,0,0,1,1,145,6
1,1,0,0,0,1,1,146,6
1,1,0,0,0,1,1,147,6
1,0,0,0,1,1,0,148,6
1,0,0,0,1,1,0,149,6
1,0,0,0,1,1,0,150,6
1,0,0,0,1,1,0,151,6
1,0,0,0,1,1,0,152,6
1,0,0,0,1,1,0,153,6
1,0,0,0,1,1,0,154,6
1,0,0,0,1,1,0,155,6
1,0,0,0,1,1,0,156,6
1,0,0,0,1,1,0,157,6
1,0,0,0,1,1,0,158,6
1,0,0,0,1,1,0,159,6
1,0,0,0,1,1,0,160,6
1,0,0,0,1,1,0,161,6
1,0,0,0,1,1,0,162,6
1,1,0,0,0,1,0,163,7
1,1,0,0,0,1,0,164,7
1,1,0,0,0,1,0,165,7
1,1,0,0,0,1,0,166,7
1,1,0,0,0,1,0,167,7
1,1,0,0,0,1,0,168,7
1,1,0,0,0,1,1,169,7
1,1,0,0,0,1,1,170,7
1,1,0,0,0,1,1,171,7
1,1,0,0,0,1,1,172,7
1,1,0,0,0,1,1,173,7
1,1,0,0,0,1,1,174,7
1,0,0,0,1,1,0,175,7
1,0,0,0,1,1,0,176,7
1,0,0,0,1,1,0,177,7
1,0,0,0,1,1,0,178,7
1,0,0,0,1,1,0,179,7
1,0,0,0,1,1,0,180,7
1,0,0,0,1,1,0,181,7
1,0,0,0,1,1,0,182,7
1,0,0,0,1,1,0,183,7
1,0,0,0,1,1,0,184,7
1,0,0,0,1,1,0,185,7
1,0,0,0,1,1,0,186,7
1,0,0,0,1,1,0,187,7
1,0,0,0,1,1,0,188,7
1,0,0,0,1,1,0,189,7
1,1,0,0,0,1,0,190,8
1,1,0,0,0,1,0,191,8
1,1,0,0,0,1,0,192,8
1,1,0,0,0,1,0,193,8
1,1,0,0,0,1,0,194,8
1,1,0,0,0,1,0,195,8
1,1,0,0,0,1,1,196,8
1,1,0,0,0,1,1,197,8
1,1,0,0,0,1,1,198,8
1,1,0,0,0,1,1,199,8
1,1,0,0,0,1,1,200,8
1,1,0,0,0,1,1,201,8
1,0,0,0,1,1,0,202,8
1,0,0,0,1,1,0,203,8
1,0,0,0,1,1,0,204,8
1,0,0,0,1,1,0,205,8
1,0,0,0,1,1,0,206,8
1,0,0,0,1,1,0,207,8
1,0,0,0,1,1,0,208,8
