Clearing,Department Family,Doc Nbr,Entity,Expense Area,Expense Type,Item Text,Merchant category,Supplier,Amount
01/12/2015,Communities & Local Government,1000004070,DCLG,"Strategy, Communications and Private Office","IT - PC, Network & Hardware",Polling function add on for DCLG intranet,COMPUTER NETWORK INFORMATION SERVICES,WPCHRG.COM               8772733049,136.38
03/12/2015,Communities & Local Government,1000004071,DCLG,Finance & Corporate Services,Publications,5 x Blackberry chargers. Fujitsu no longer supply,BOOK STORES,AMAZON UK MARKETPLACE    800-279-6620,14.95
08/12/2015,Communities & Local Government,1000004072,DCLG,Local Government & Public Services,Government Procurement Card (expense),Printheads for HP printer,MISC. SPECIALITY RETAIL,AMAZON UK MARKETPLACE    800-279-6620,269.86
09/12/2015,Communities & Local Government,1000004073,DCLG,Troubled Families,"IT - PC, Network & Hardware",Needed for extra file space for filming case study,COMPUTER NETWORK INFORMATION SERVICES,DROPBOX 5NRKNWF5VJMN     415-986-7057,66
14/12/2015,Communities & Local Government,1000004074,DCLG,Finance & Corporate Services,"IT - PC, Network & Hardware",monthly sub for domain name needed for testing,COMPUTER NETWORK INFORMATION SERVICES,1&1 INTERNET LIMITED     GLOUCESTER,2.39
15/12/2015,Communities & Local Government,1000004075,DCLG,Local Government & Public Services,Publications,Display frames,BOOK STORES,AMAZON UK MARKETPLACE    800-279-6620,68.34
21/12/2015,Communities & Local Government,1000004077,DCLG,Finance & Corporate Services,Government Procurement Card (expense),6 x Blackberry batteries.,MISC. SPECIALITY RETAIL,AMAZON UK MARKETPLACE    800-279-6620,31.68
21/12/2015,Communities & Local Government,1000004076,DCLG,"Strategy, Communications and Private Office",Government Procurement Card (expense),Software tool to enable app to smoke alarm comms,ELECTRONICS SHOPS,AVVEL INTERNATIONAL      +447713503055,147.5
